Player Name,Team,Overall Pick,Projection Rank,Delta,Stamp Type,Points,VOS Stamp
Chris Schmelzer,Pittsburgh Pirates,1,7,-6,,0,N
Jonathan Booth,Washington Nationals,2,3,-1,,0,N
Josh Hamilton,Cincinnati Reds,3,4,-1,,0,N
Skylar Meadows,Milwaukee Brewers,4,32,-28,,0,N
Chris Lindsey,Atlanta Braves,5,5,0,Top 100,3,Y
Mike Bettenhausen,Boston Red Sox,6,10,-4,,0,N
Steve Burlingham,Seattle Mariners,7,29,-22,,0,N
Randy LaMontagne,Arizona Diamondbacks,8,1,7,Top 100,3,Y
David Tejada,Chicago White Sox,9,51,-42,,0,N
Tito Manguina,Minnesota Twins,10,197,-187,,0,N
Steve Huslig,San Francisco Giants,11,8,3,Top 100,3,Y
Juan Hiles,Colorado Rockies,12,2,10,Top 100,3,Y
Tony Glynn,Los Angeles Dodgers,13,75,-62,,0,N
Bobby Henderson,Tampa Bay Rays,14,27,-13,,0,N
Tim Beinborn,Houston Astros,15,18,-3,,0,N
Steve Perry,Cleveland Guardians,16,52,-36,,0,N
Jeff Peterson,Kansas City Royals,17,16,1,Top 100,3,Y
Sam Lowell,Baltimore Orioles,18,56,-38,,0,N
Jaheim Asante,Philadelphia Phillies,19,23,-4,,0,N
Jeremy Zuccato,New York Mets,20,98,-78,,0,N
GianCarlo Weaver,Los Angeles Angels,21,95,-74,,0,N
Ethan Panariello,New York Yankees,22,24,-2,,0,N
Jorge Savoy,Chicago Cubs,23,116,-93,,0,N
Dalvinson Rice,San Diego Padres,24,30,-6,,0,N
Dan Congdon,Texas Rangers,25,13,12,Top 100,3,Y
Joel Fortenberry,Toronto Blue Jays,26,54,-28,,0,N
Chris Harrison,Detroit Tigers,27,15,12,Top 100,3,Y
Kaleb Fugate,Miami Marlins,28,63,-35,,0,N
Zach Breeding,St. Louis Cardinals,29,26,3,Top 100,3,Y
Mike Degand,Oakland Athletics,30,108,-78,,0,N
Savion Smiling,Cincinnati Reds,31,47,-16,,0,N
David Balderrama,Houston Astros,32,65,-33,,0,N
Chris Schmidt,St. Louis Cardinals,33,130,-97,,0,N
Vince Walton,Milwaukee Brewers,34,39,-5,,0,N
Damani Menyweather,Seattle Mariners,35,17,18,Top 100,3,Y
Ronnie Narcisse,Arizona Diamondbacks,36,14,22,Top 100,3,Y
Powell Noftall,Atlanta Braves,37,398,-361,,0,N
Ismael Barrios,Pittsburgh Pirates,38,50,-12,,0,N
Zion Hyacinthe,Boston Red Sox,39,92,-53,,0,N
Eric Dillard,Washington Nationals,40,57,-17,,0,N
Brad Marriott,Chicago White Sox,41,118,-77,,0,N
Mike Pecina,Minnesota Twins,42,109,-67,,0,N
Kevin Carrier,San Francisco Giants,43,76,-33,,0,N
Denim Bonaparte,Cincinnati Reds,44,321,-277,,0,N
Nate Horton,Colorado Rockies,45,242,-197,,0,N
Jorge Guerrero,Los Angeles Dodgers,46,173,-127,,0,N
Esteban Ramos,Tampa Bay Rays,47,107,-60,,0,N
Jimmy Ratliff,Houston Astros,48,100,-52,,0,N
Jackson Shearing,Cleveland Guardians,49,21,28,Top 100,3,Y
Kevin Kennedy,Kansas City Royals,50,6,44,Top 100,3,Y
Dan Boren,Baltimore Orioles,51,122,-71,,0,N
Jim LaDuke,Philadelphia Phillies,52,74,-22,,0,N
Vince Lawhead,New York Mets,53,89,-36,,0,N
Jonathan Harold,Los Angeles Angels,54,11,43,Top 100,3,Y
Jeff Hutchings,New York Yankees,55,70,-15,,0,N
Eric Alles,Chicago Cubs,56,9,47,Top 100,3,Y
Ken Templeton,San Diego Padres,57,20,37,Top 100,3,Y
Chris Gross,Texas Rangers,58,35,23,Top 100,3,Y
Edgar Miranda,Toronto Blue Jays,59,44,15,Top 100,3,Y
Kevin Tomlinson,Detroit Tigers,60,73,-13,,0,N
Dawson Fairn,Miami Marlins,61,68,-7,,0,N
Yanael Ayers,St. Louis Cardinals,62,132,-70,,0,N
Bobby Rogers,Oakland Athletics,63,34,29,Top 100,3,Y
Josh Muller,Tampa Bay Rays,64,31,33,Top 100,3,Y
Eric Davis,New York Mets,65,79,-14,,0,N
Briruc El Sayed,Chicago Cubs,66,22,44,Top 100,3,Y
Chad Nelson,Miami Marlins,67,104,-37,,0,N
Josh Brown,Milwaukee Brewers,68,28,40,Top 100,3,Y
Chris Baker,Seattle Mariners,69,41,28,Top 100,3,Y
Jon Foltz,Atlanta Braves,70,78,-8,,0,N
Mike Aylsworth,Pittsburgh Pirates,71,202,-131,,0,N
Shawn Reeves,Boston Red Sox,72,120,-48,,0,N
Rob Henry,Washington Nationals,73,19,54,Top 100,3,Y
Chris Hartman,Minnesota Twins,74,294,-220,,0,N
Geoff Levie,San Francisco Giants,75,372,-297,,0,N
Jim McCline,Cincinnati Reds,76,67,9,Top 100,3,Y
Juan Rosa,Colorado Rockies,77,85,-8,,0,N
Josh Sandbothe,Tampa Bay Rays,78,252,-174,,0,N
Raynald Chardon,New York Mets,79,36,43,Top 100,3,Y
Bob Larsen,Cleveland Guardians,80,166,-86,,0,N
Joey Carter,Kansas City Royals,81,227,-146,,0,N
Daniel Almendarez,Baltimore Orioles,82,123,-41,,0,N
Greg Winman,Philadelphia Phillies,83,508,-425,,0,N
Stephon Stallion,New York Mets,84,157,-73,,0,N
Denym Schmitt,New York Yankees,85,129,-44,,0,N
Mike Donald,Chicago Cubs,86,60,26,Top 100,3,Y
Pat Franz,San Diego Padres,87,59,28,Top 100,3,Y
Ron O'Dell,Texas Rangers,88,114,-26,,0,N
Joel Blass,Toronto Blue Jays,89,90,-1,,0,N
Branden Woodruff,Detroit Tigers,90,58,32,Top 100,3,Y
Rory Schlusser,Miami Marlins,91,297,-206,,0,N
0142 Yost,St. Louis Cardinals,92,255,-163,,0,N
Mike Melton,Oakland Athletics,93,99,-6,,0,N
Tim Eagan,Milwaukee Brewers,94,91,3,Top 100,3,Y
Alfredo Perales,Seattle Mariners,95,131,-36,,0,N
Chris Alvarado,Arizona Diamondbacks,96,45,51,Top 100,3,Y
Walton Linttell,Atlanta Braves,97,113,-16,,0,N
Dane Barrett,Pittsburgh Pirates,98,127,-29,,0,N
Sam Marotta,Boston Red Sox,99,80,19,Top 100,3,Y
Dave Brunner,Washington Nationals,100,25,75,Top 100,3,Y
Davon Adomako,Chicago White Sox,101,152,-51,,0,N
Chris Zastrow,Minnesota Twins,102,514,-412,,0,N
Andy Austin,San Francisco Giants,103,121,-18,,0,N
Ben DiPadova,Cincinnati Reds,104,106,-2,,0,N
Mike Adkins,Colorado Rockies,105,238,-133,,0,N
Andy Faris,Los Angeles Dodgers,106,82,24,Top 100,3,Y
Chris Moffett,Tampa Bay Rays,107,137,-30,,0,N
Dave Waite,Houston Astros,108,69,39,Top 100,3,Y
Josh Morris,Cleveland Guardians,109,145,-36,,0,N
Chris Simpson,Kansas City Royals,110,275,-165,,0,N
Doug Canoy,Baltimore Orioles,111,232,-121,,0,N
Ricky Kimrey,Philadelphia Phillies,112,205,-93,,0,N
Jim Schrader,New York Mets,113,360,-247,,0,N
Jeremy Belmont,New York Yankees,114,412,-298,,0,N
Mike Flood,Chicago Cubs,115,245,-130,,0,N
Eric Doherty,San Diego Padres,116,211,-95,,0,N
Caleb Mull,Texas Rangers,117,183,-66,,0,N
Eloy Adame,Toronto Blue Jays,118,185,-67,,0,N
Holgar Jaspersen,Detroit Tigers,119,55,64,Top 100,3,Y
Vince Green,Miami Marlins,120,168,-48,,0,N
Josue Gabriel Jolly,St. Louis Cardinals,121,348,-227,,0,N
Ben Pizzo,Oakland Athletics,122,385,-263,,0,N
Arturo Zavala,Milwaukee Brewers,123,317,-194,,0,N
Steve Braden,Seattle Mariners,124,102,22,Later,1,Y
Jimmy Holley,Arizona Diamondbacks,125,46,79,Top 100,3,Y
Savion Swait,Atlanta Braves,126,293,-167,,0,N
Ron Peluso,Pittsburgh Pirates,127,71,56,Top 100,3,Y
Nate Powers,Boston Red Sox,128,241,-113,,0,N
Danny Leger,Washington Nationals,129,38,91,Top 100,3,Y
Ronnie Burke,Chicago White Sox,130,49,81,Top 100,3,Y
Mj Deutsch,Minnesota Twins,131,437,-306,,0,N
Elwood Horswill,San Francisco Giants,132,190,-58,,0,N
Phil Vice,Cincinnati Reds,133,101,32,Later,1,Y
Phil Horn,Colorado Rockies,134,40,94,Top 100,3,Y
