Team,Top 100 Stamps,Later Stamps,Total Points,Rank,Grade
Toronto Blue Jays,3,10,46.8,1,A
Pittsburgh Pirates,2,11,43.0,2,A
Detroit Tigers,4,7,42.0,3,A
Washington Nationals,3,7,37.4,4,B
Chicago Cubs,3,8,37.3,5,B
St. Louis Cardinals,1,10,35.7,6,B
Los Angeles Dodgers,2,8,35.6,7,B
Houston Astros,2,7,34.4,8,B
Tampa Bay Rays,3,5,33.9,9,B
New York Yankees,0,10,33.3,10,B
Philadelphia Phillies,0,10,33.1,11,C
Seattle Mariners,2,7,31.0,12,C
Baltimore Orioles,2,6,29.5,13,C
Kansas City Royals,2,7,29.4,14,C
Chicago White Sox,1,8,28.7,15,C
San Diego Padres,2,6,28.5,16,C
Boston Red Sox,2,6,28.5,17,C
Milwaukee Brewers,2,6,28.2,18,C
Cincinnati Reds,2,6,27.7,19,C
New York Mets,1,7,27.1,20,C
Miami Marlins,2,4,23.2,21,D
Texas Rangers,2,5,23.1,22,D
Oakland Athletics,2,4,21.5,23,D
Los Angeles Angels,1,5,21.1,24,D
San Francisco Giants,1,4,16.3,25,F
Atlanta Braves,1,4,15.7,26,F
Minnesota Twins,0,5,15.0,27,F
Cleveland Guardians,1,3,13.6,28,F
Colorado Rockies,2,1,13.1,29,F
