Position Distribution
Position,Count,Percentage
1B,8,0.86%
2B,78,8.40%
3B,53,5.71%
C,74,7.97%
CF,76,8.18%
DH,14,1.51%
LF,44,4.74%
RF,47,5.06%
RP,170,18.30%
SP,357,38.43%
SS,8,0.86%

Position Strength
Position,Count,Mean,Median,Min,Max,P25,P75
1B,8,45.18,42.31,36.82,64.48,37.31,47.86
2B,78,51.64,51.36,37.17,66.86,45.19,56.00
3B,53,53.50,53.19,44.02,67.14,47.69,56.92
C,74,50.75,50.92,38.58,64.21,44.36,55.56
CF,76,56.65,57.11,45.55,66.86,52.35,60.98
DH,14,47.27,44.77,38.37,68.31,39.78,48.57
LF,44,47.14,44.33,36.82,65.71,41.03,50.97
RF,47,48.74,46.87,35.33,69.29,42.50,53.53
RP,170,47.16,44.98,34.21,67.57,40.01,52.91
SP,357,43.47,41.66,31.78,68.35,38.15,47.19
SS,8,61.49,61.22,54.08,65.94,59.64,63.64

Prospect Tiers
Tier,Count,Percentage,Threshold
Elite,63,6.78%,>= 62
Plus,169,18.19%,54-61
Average,176,18.95%,48-53
Org Depth,521,56.08%,< 48
