Position Distribution
Position,Count,Percentage
1B,7,0.75%
2B,78,8.40%
3B,60,6.46%
C,74,7.97%
CF,76,8.18%
DH,16,1.72%
LF,44,4.74%
RF,49,5.27%
SP,517,55.65%
SS,8,0.86%

Position Strength
Position,Count,Mean,Median,Min,Max,P25,P75
1B,7,45.36,40.39,36.82,64.48,37.31,48.12
2B,78,51.87,52.37,37.17,67.23,45.35,56.14
3B,60,53.94,54.09,44.02,69.29,48.32,57.86
C,74,51.08,51.23,38.58,65.12,45.00,55.86
CF,76,56.83,57.22,45.55,67.50,52.35,61.05
DH,16,46.73,44.77,35.52,68.31,39.78,50.00
LF,44,46.34,44.11,31.80,66.15,40.45,51.88
RF,49,46.92,46.87,31.94,68.68,40.63,52.75
SP,517,40.81,39.22,29.03,68.66,34.82,44.93
SS,8,61.64,61.44,53.89,65.94,60.58,63.64

Prospect Tiers
Tier,Count,Percentage,Threshold
Elite,54,5.81%,>= 62
Plus,147,15.82%,54-61
Average,150,16.15%,48-53
Org Depth,578,62.22%,< 48
