ID,Name,Pos,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Signability,Demand,Acc,Ovr,Pot
61778,"Eric Ackels",RP,22,182,R,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,30,20,25,25,25,35,35,65,25,60,50,75,20,20,20,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,25,20,20,20,65,25,40,40,35,45,30,40,40,35,45,30,40,40,35,45,30,50,45,45,45,40,90-92,47,25,50,45,0,0,0,0,45,0,0,0,0,0,0,50,0,0,0,0,55,0,0,0,0,0,0,N,N,L,H,N,N,0,VH,30,35
60945,"Eric Adams",SS,18,190,L,R,25,30,30,25,25,25,25,30,30,25,25,25,25,30,25,25,25,25,50,55,60,50,45,50,55,45,50,45,50,40,50,20,20,20,0,0,0,0,0,25,0,0,0,0,0,0,0,0,40,0,0,0,45,50,50,45,30,25,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20,30,30,20,25,85-87,59,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,EH,0,VH,20,45
60989,"Josh Adeniran",SP,18,180,L,L,20,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,20,35,30,20,35,25,40,35,30,50,20,50,45,50,25,30,25,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,20,20,50,25,35,45,40,55,35,35,40,40,50,30,40,45,40,60,35,75,70,80,55,75,92-94,64,50,55,0,40,0,0,45,0,0,0,20,0,0,0,0,80,0,0,80,0,0,0,80,0,0,0,N,H,N,N,N,EH,8000000,VH,30,80
61851,"Sean Adjemian",2B,18,182,R,R,25,25,20,20,30,30,25,25,20,20,25,30,25,25,20,20,30,30,65,50,35,30,60,65,50,45,35,45,40,35,40,20,20,20,0,0,0,30,0,0,0,0,0,0,0,0,40,0,0,0,0,0,40,40,40,30,50,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,20,25,86-88,52,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,L,H,N,E,290000,VH,25,45
56522,"Lawrence Adronyk",RP,22,184,L,L,25,20,20,25,25,20,25,20,20,25,25,20,20,20,20,25,25,20,35,35,35,45,40,35,30,25,40,20,35,40,30,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,20,20,20,35,30,35,20,20,45,25,35,20,20,45,20,40,25,20,50,25,45,35,30,45,30,97-99,39,25,65,0,0,40,0,40,0,0,0,0,0,0,0,0,0,45,0,50,0,0,0,0,0,0,0,N,N,H,H,H,N,0,VH,25,30
61059,"Jamir Afolabi",SP,18,190,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,40,30,30,25,25,45,25,40,35,45,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,35,25,20,30,60,25,25,25,20,45,20,25,30,20,45,20,25,25,20,40,20,55,45,40,45,25,92-94,49,50,55,40,25,25,0,0,0,0,0,0,0,0,0,80,45,75,0,0,0,0,0,0,0,0,0,N,N,N,N,L,EH,0,VH,20,40
63914,"Esteban Aguiler",SP,20,184,R,R,25,20,25,20,20,25,25,20,25,20,20,25,25,20,25,20,20,25,30,30,30,25,30,35,30,30,45,25,55,50,50,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,20,20,20,75,20,30,35,30,45,35,30,35,30,45,35,30,30,30,45,35,40,45,45,45,45,87-89,45,65,25,30,35,35,0,0,0,0,0,0,0,0,0,40,45,45,0,0,0,0,0,0,0,0,0,N,N,L,N,H,N,0,A,25,35
60852,"Josh Ahearn",SP,17,182,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,25,20,30,20,45,35,30,40,20,40,40,35,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,30,25,20,20,45,20,30,35,30,45,20,30,35,30,45,20,30,35,30,45,20,55,65,70,50,50,91-93,59,45,55,40,0,0,30,0,20,25,0,0,0,0,0,75,0,0,75,0,65,65,0,0,0,0,0,L,N,N,N,N,H,950000,VH,25,60
63920,"Joey Alexander",1B,22,193,R,R,40,35,35,40,40,40,40,35,35,40,40,40,40,35,40,40,40,40,50,45,50,45,50,50,40,35,30,35,45,35,40,20,20,20,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,30,35,35,35,65,20,20,25,25,25,20,20,25,25,20,20,20,25,25,25,20,20,30,35,25,25,84-86,44,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,0,H,35,40
61861,"Mike Allaire",C,22,181,R,R,40,45,40,40,40,40,40,45,40,40,40,40,40,45,40,40,40,40,50,55,50,50,45,50,30,20,60,20,40,40,55,55,55,55,0,45,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,30,40,35,50,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,25,86-88,51,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,H,H,0,VH,35,45
61754,"R.J. Allen",CF,22,182,L,R,45,50,40,30,45,40,45,50,40,30,45,40,45,50,40,30,45,40,55,80,50,40,70,50,35,35,45,30,65,50,50,20,20,20,0,0,0,0,0,0,30,50,30,0,0,0,0,0,0,70,55,65,75,70,70,75,35,25,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,30,30,25,83-85,38,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,EH,800000,VH,35,55
61744,"Josh Allendorf",CL,20,187,R,R,25,20,20,20,20,30,25,20,20,20,20,30,25,20,20,20,20,30,35,25,25,25,25,40,30,30,55,35,35,35,45,20,25,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,30,25,25,30,50,25,45,45,40,50,35,45,45,45,50,35,40,40,40,45,35,55,55,55,50,45,94-96,57,25,25,45,40,25,0,0,0,0,0,0,0,0,0,70,55,65,0,0,0,0,0,0,0,0,0,N,N,N,N,N,E,0,VH,35,50
