Position Distribution
Position,Count,Percentage
1B,4,0.56%
2B,49,6.81%
3B,30,4.17%
C,48,6.67%
CF,69,9.58%
DH,15,2.08%
LF,29,4.03%
RF,43,5.97%
RP,164,22.78%
SP,260,36.11%
SS,9,1.25%

Position Strength
Position,Count,Mean,Median,Min,Max,P25,P75
1B,4,49.92,48.11,42.90,60.57,42.90,53.29
2B,49,54.51,55.00,39.11,68.13,45.88,61.48
3B,30,54.75,55.95,40.33,66.92,46.91,60.52
C,48,52.74,51.15,37.93,65.20,48.30,58.16
CF,69,59.79,59.70,51.54,68.24,57.61,62.07
DH,15,53.95,50.97,41.03,67.80,46.24,62.11
LF,29,51.55,52.31,39.61,68.28,43.50,56.92
RF,43,51.35,50.78,37.65,67.27,44.46,56.62
RP,164,47.31,44.48,32.85,67.49,39.07,56.11
SP,260,44.85,43.40,31.21,68.53,38.68,49.51
SS,9,57.74,61.05,49.58,62.47,50.83,61.49

Prospect Tiers
Tier,Count,Percentage,Threshold
Elite,77,10.69%,>= 62
Plus,182,25.28%,54-61
Average,112,15.56%,48-53
Org Depth,349,48.47%,< 48
