ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Draft_Age_Adj,Draft_RP_Penalty,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
56522,Lawrence Adronyk,RP,22.0,,,,33.18,37.22,,,,,27.39,38.06,41.28,0.0,0.0,0.5,1.5,-2.0,Busch Stadium,True,,,,,,,,,,RP,30.86
56563,Mike Hewes,SP,22.0,,,,33.82,41.15,,,,,30.57,44.98,41.2,0.25,0.0,3.0,1.5,0.0,Busch Stadium,True,,,,,,,,,,SP,27.7
56564,Danny Maggard,2B,22.0,,,,36.94,41.45,25.03,37.43,46.5,45.26,,,,0.0,0.0,0.0,1.5,0.0,Busch Stadium,True,,28.14,36.94,,,,,,25.03,2B,36.94
56576,Eric Martin,SP,21.0,,,,31.22,35.41,,,,,21.89,35.51,42.43,0.0,0.0,-2.0,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,26.0
56594,David Arroyo,RP,22.0,,,,35.56,38.8,,,,,34.33,40.98,43.33,0.0,0.0,0.0,1.5,-2.0,Busch Stadium,True,,,,,,,,,,RP,36.58
56598,Alpha Ndoye,RP,21.0,,,,32.27,35.12,,,,,25.87,35.07,48.15,0.0,0.0,-2.0,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,31.44
56604,Donny Schmit,SP,22.0,,,,32.37,33.55,,,,,28.6,32.57,38.7,0.0,0.0,-3.5,1.5,0.0,Busch Stadium,True,,,,,,,,,,SP,30.62
56635,Josh Fanzo,RP,22.0,,,,35.88,39.33,,,,,28.89,35.62,60.02,0.0,0.0,0.5,1.5,-2.0,Busch Stadium,True,,,,,,,,,,RP,36.67
56638,Jim Norman,SP,22.0,,,,33.94,37.35,,,,,31.3,39.25,38.35,0.0,0.0,-1.5,1.5,0.0,Busch Stadium,True,,,,,,,,,,SP,32.71
56643,Marc Essary,RP,22.0,,,,33.85,43.54,,,,,26.34,44.74,47.3,0.42,0.0,1.0,1.5,-2.0,Busch Stadium,True,,,,,,,,,,RP,31.58
56661,Ed Evans,RP,21.0,,,,36.45,40.0,,,,,34.79,41.26,56.62,0.0,0.0,-1.5,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,40.25
56680,Mike White,SP,21.0,,,,31.49,35.1,,,,,28.14,39.85,44.6,0.0,0.0,1.0,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,23.94
56693,Chris Powers,SP,22.0,,,,33.06,35.7,,,,,28.32,35.57,56.9,0.0,0.0,0.0,1.5,0.0,Busch Stadium,True,,,,,,,,,,SP,29.04
56834,Shamar Phoenix,RP,22.0,,,,35.18,42.32,,,,,30.57,43.22,51.67,0.0,0.0,0.0,1.5,-2.0,Busch Stadium,True,,,,,,,,,,RP,35.85
56850,Nate Harris,C,22.0,,,,43.73,47.26,28.95,38.77,48.72,35.04,,,,0.0,0.0,-0.5,1.5,0.0,Busch Stadium,True,45.04,,,,,,,32.11,28.95,C,45.04
56922,Robby Grijalva,SP,22.0,,,,33.63,38.09,,,,,28.14,38.33,39.8,0.0,0.0,0.0,1.5,0.0,Busch Stadium,True,,,,,,,,,,SP,30.48
56934,Jeff Hotchkiss,2B,22.0,,,,35.76,38.91,25.91,36.48,42.0,30.34,,,,0.0,0.0,0.0,1.5,0.0,Busch Stadium,True,,27.44,34.94,,,,,,25.91,2B,34.94
56967,Tommy Barron,RP,22.0,,,,31.99,35.32,,,,,24.37,35.27,40.73,0.0,0.0,-0.5,1.5,-2.0,Busch Stadium,True,,,,,,,,,,RP,28.46
57521,Pat Ertman,SP,22.0,,,,32.03,35.06,,,,,25.65,35.06,55.35,0.0,0.0,-0.5,1.5,0.0,Busch Stadium,True,,,,,,,,,,SP,26.59
57549,Jeff Warner,RP,22.0,,,,34.27,37.71,,,,,32.53,40.7,32.25,0.0,0.0,1.5,1.5,-2.0,Busch Stadium,True,,,,,,,,,,RP,32.46
57556,Ken Stewart,SP,20.0,,,,35.53,49.13,,,,,28.6,45.82,62.95,0.25,0.0,0.0,0.3,0.0,Busch Stadium,True,,,,,,,,,,SP,35.47
57581,Josh Whaley,SP,21.0,,,,30.08,31.17,,,,,22.89,28.36,50.7,0.0,0.0,-1.5,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,20.96
57590,Yhonkervix Gwyn,RP,20.0,,,,33.92,40.53,,,,,28.12,42.01,53.1,0.0,0.0,0.0,0.3,-2.0,Busch Stadium,True,,,,,,,,,,RP,34.36
57598,T.J. Barnard,LF,20.0,,,,33.02,47.87,24.47,46.56,46.42,27.34,,,,-0.44,0.0,2.0,0.3,0.0,Busch Stadium,True,,,,,,27.52,,28.57,24.47,RF,28.57
57605,Chris Barnhart,RP,21.0,,,,34.01,37.36,,,,,26.64,34.89,60.02,0.0,0.0,-1.0,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,34.98
57607,Joe Lindsey,LF,21.0,,,,34.2,49.45,29.85,48.32,44.55,21.88,,,,0.44,0.0,0.5,0.9,0.0,Busch Stadium,True,,,,,,31.05,,31.47,29.85,RF,31.47
57611,Mike Ankner,3B,21.0,,,,42.45,61.71,30.58,56.14,46.62,69.61,,,,0.81,0.0,2.5,0.9,0.0,Busch Stadium,True,,34.47,40.75,40.59,,,,36.41,30.58,2B,40.75
57614,Chris Mortenson,RP,21.0,,,,36.16,50.59,,,,,30.84,48.96,62.73,0.44,0.0,-1.0,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,38.81
57628,Jeremy Jackson,RP,21.0,,,,35.82,48.0,,,,,28.89,45.38,63.98,0.0,0.0,0.0,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,37.66
57630,Michael Sexton Jr.,SP,20.0,,,,35.97,51.33,,,,,29.3,47.0,51.45,0.29,0.0,2.5,0.3,0.0,Busch Stadium,True,,,,,,,,,,SP,33.73
57633,Mike Weaver,SP,21.0,,,,33.25,40.45,,,,,28.6,43.55,53.8,0.0,0.0,-1.0,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,31.14
57645,Ken Chapman,SS,20.0,,,,38.9,51.17,27.77,46.1,47.9,36.57,,,,0.38,0.0,4.0,0.3,0.0,Busch Stadium,True,,30.73,36.51,,,30.77,,32.2,27.77,2B,36.51
57654,Murdoch Freeman,SP,20.0,,,,31.34,38.75,,,,,21.63,41.25,38.5,0.0,0.0,0.0,0.3,0.0,Busch Stadium,True,,,,,,,,,,SP,25.0
57661,Tim Kleinpeter,1B,21.0,,,,31.43,46.04,25.6,48.32,0.0,27.37,,,,0.62,0.0,-1.5,0.9,0.0,Busch Stadium,True,,,,,,,,,25.6,DH,25.6
57674,Sergio Valle,SP,20.0,,,,34.21,46.61,,,,,27.14,46.31,61.22,0.56,0.0,1.0,0.3,0.0,Busch Stadium,True,,,,,,,,,,SP,31.46
57677,Sergio Leal,RP,21.0,,,,33.11,37.59,,,,,29.35,40.99,43.1,0.0,0.0,-1.0,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,32.78
57691,Walt Norris,SP,21.0,,,,33.03,37.73,,,,,23.65,35.12,50.65,0.0,0.0,0.5,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,29.05
57692,Davon Gatison,RP,21.0,,,,31.46,34.56,,,,,25.14,36.29,43.88,0.0,0.0,-3.0,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,29.82
57694,Nelson Zavala,SP,21.0,,,,33.14,37.52,,,,,22.65,33.36,61.15,0.0,0.0,-0.5,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,30.35
57706,Jim Cheuvront,SP,20.0,,,,31.74,33.84,,,,,22.89,30.17,50.3,0.0,0.0,-2.0,0.3,0.0,Busch Stadium,True,,,,,,,,,,SP,28.38
57717,Jimmy Piontek,RP,21.0,,,,32.33,37.12,,,,,26.62,40.24,38.55,0.0,0.0,0.0,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,29.61
57723,Wood Myers Jr.,RP,20.0,,,,31.92,38.36,,,,,24.37,42.02,46.7,0.0,0.0,-1.0,0.3,-2.0,Busch Stadium,True,,,,,,,,,,RP,29.96
57732,Jorge Bowness,SP,21.0,,,,31.16,35.32,,,,,23.65,37.33,49.27,0.0,0.0,0.0,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,23.78
57762,Bobby Wolf,RP,21.0,,,,35.07,46.59,,,,,24.39,41.63,69.8,0.0,0.0,0.5,0.9,-2.0,Busch Stadium,True,,,,,,,,,,RP,35.74
57763,Jeremy Miller,RF,20.0,,,,32.28,41.05,23.4,42.32,43.12,30.34,,,,0.0,0.0,1.0,0.3,0.0,Busch Stadium,True,,,,,,27.05,,,23.4,LF,27.05
57764,Steve Weekly,SP,21.0,,,,35.35,50.03,,,,,28.14,46.58,59.25,0.42,0.0,0.0,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,34.37
57768,David Naranjo,SP,21.0,,,,35.68,47.65,,,,,29.36,45.31,57.9,0.33,0.0,0.0,0.9,0.0,Busch Stadium,True,,,,,,,,,,SP,35.07
