Position Distribution
Position,Count,Percentage
1B,16,2.99%
2B,34,6.36%
3B,30,5.61%
C,44,8.22%
CF,23,4.30%
DH,49,9.16%
LF,22,4.11%
RF,46,8.60%
SP,265,49.53%
SS,6,1.12%

Position Strength
Position,Count,Mean,Median,Min,Max,P25,P75
1B,16,45.83,44.86,37.82,58.82,41.95,48.12
2B,34,48.80,49.10,39.22,57.78,45.35,51.45
3B,30,50.70,51.53,40.45,60.00,45.64,54.03
C,44,47.86,47.21,39.35,57.78,44.29,52.16
CF,23,54.79,55.77,45.12,62.35,50.56,58.62
DH,49,44.69,43.08,34.06,62.52,39.57,48.57
LF,22,45.84,44.58,34.40,55.34,43.08,47.69
RF,46,47.50,45.91,36.82,62.18,43.35,51.22
SP,265,36.65,36.28,29.94,56.79,33.32,39.08
SS,6,60.21,60.66,56.83,63.70,58.42,60.77

Prospect Tiers
Tier,Count,Percentage,Threshold
Elite,4,0.75%,>= 62
Plus,54,10.09%,54-61
Average,73,13.64%,48-53
Org Depth,404,75.51%,< 48
