ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
112208,Jake Berg,3B,18,,,,49.54,69.29,31.41,73.02,50.95,51.12,,,,1.56,0,4,Nationals Park,TRUE,,34.56,40.6,44.21,,35.46,,36.38,31.41,3B,44.21
112266,Jake Wreyford,SP,18,,,,47.43,69.25,,,,,38.43,76.14,79.75,1.9,0,0,Nationals Park,TRUE,,,,,,,,,,SP,46.7
113666,Doug Downes,LF,18,,,,37.81,69.16,36.16,75.02,44.82,24.42,,,,1.94,0,1.5,Nationals Park,TRUE,,,,,,36.28,,36.29,36.16,RF,36.29
113736,Jerry Munson,3B,18,,,,45.61,69.09,34.92,73.75,47.44,33.24,,,,1.44,0,2.5,Nationals Park,TRUE,,36.15,39.83,43.49,,,,35.73,34.92,3B,43.49
115277,C.J. Kavanagh,SP,18,,,,54.69,68.76,,,,,45.29,74.99,72.62,1.52,0,0.5,Nationals Park,TRUE,,,,,,,,,,SP,50.76
113715,Tim Turnage,2B,21,,,,61.3,68.63,48.67,71.07,56.51,49.1,,,,2.12,0,3.5,Nationals Park,TRUE,,49.53,52.01,,53.44,,,,48.67,SS,53.44
116872,Ron Barr,CF,20,,,,60.23,68.36,46.29,70.66,55.7,47.86,,,,2.19,0,3,Nationals Park,TRUE,,,,,,47.67,52.57,48.02,46.29,CF,52.57
112175,Jordan Esqueda,2B,18,,,,42.13,68.09,31.94,73.78,49.54,52.37,,,,1.56,0,-1,Nationals Park,TRUE,,35.17,44.11,40.93,,35.91,,35.93,31.94,2B,44.11
112413,Chris Moore,LF,17,,,,34.46,67.84,30.37,70.01,0,47.61,,,,1.5,0,2,Nationals Park,TRUE,,,,,,,,,30.37,DH,30.37
113780,Randy Bender,SP,18,,,,44.73,67.79,,,,,37.95,71.33,71.48,1.65,0,0.5,Nationals Park,TRUE,,,,,,,,,,SP,44.66
