Player Name,Team,Overall Pick,Projection Rank,Delta,Stamp Type,Points,VOS Stamp
Jake Berg,Colorado Rockies,1,1,0,Top 100,3.5,Y
Doug Downes,Cincinnati Reds,2,3,-1,Managed Risk,1.600299345415539,Y
Mitch Jordan,Miami Marlins,3,84,-81,,0.0,N
Pat Farler,Detroit Tigers,4,186,-182,,0.0,N
Ron Barr,Cleveland Guardians,6,7,-1,Managed Risk,1.600299345415539,Y
Jake Wreyford,Montreal Expos,7,2,5,Top 100,4.395879734614027,Y
Erik McKechnie,San Francisco Giants,8,52,-44,,0.0,N
Randy Bender,New Orleans Voodoo,9,10,-1,Managed Risk,1.600299345415539,Y
Dan Cook,Texas Rangers,10,21,-11,Managed Risk,1.4989330683884976,Y
Pat Higginson,Baltimore Orioles,11,25,-14,Managed Risk,1.458303336014054,Y
Jerry Munson,San Diego Padres,12,4,8,Top 100,4.59861228866811,Y
Mike Norris,St. Louis Cardinals,13,23,-10,Managed Risk,1.5111306094308556,Y
Mike Andrade,Boston Red Sox,14,22,-8,Managed Risk,1.5338735539822874,Y
Kevin Jennings,Oakland Athletics,15,71,-56,,0.0,N
Sam Woodward,Los Angeles Dodgers,16,27,-11,Managed Risk,1.4989330683884976,Y
Steve Dupree,Los Angeles Angels,17,38,-21,Managed Risk,1.3256462732485115,Y
Chad Rabine,New York Mets,18,36,-18,Managed Risk,1.391237339365384,Y
Brad Kellow,Atlanta Braves,19,58,-39,,0.0,N
Robert Diaz,Minnesota Twins,20,29,-9,Managed Risk,1.522760613339579,Y
Tim Turnage,Chicago White Sox,21,6,15,Top 100,4.886294361119891,Y
Dan Stewart,Seattle Mariners,22,20,2,Top 100,4.049306144334055,Y
Josh Modisette,Milwaukee Brewers,23,33,-10,Managed Risk,1.5111306094308556,Y
Mirim Jirecek,Pittsburgh Pirates,24,34,-10,Managed Risk,1.5111306094308556,Y
Jonathon Davison,Houston Astros,25,18,7,Top 100,4.539720770839918,Y
Jim Lundy,Los Angeles Angels,26,49,-23,Managed Risk,1.269860385419959,Y
D.J. Mitchum,Chicago Cubs,27,16,11,Top 100,4.742453324894,Y
Ron Kavanaugh,Toronto Blue Jays,28,53,-25,Managed Risk,1.1979398673070136,Y
Jordan Esqueda,Philadelphia Phillies,29,8,21,Top 100,5.045521226679158,Y
Josh Martin,Arizona Diamondbacks,30,77,-47,,0.0,N
Mike Case,New York Yankees,31,24,7,Top 100,4.539720770839918,Y
Josh Price,Texas Rangers,32,146,-114,,0.0,N
Nate Pohlod,Texas Rangers,33,150,-117,,0.0,N
Steve Sherburn,Chicago White Sox,34,41,-7,Managed Risk,1.5445134575869863,Y
Shamar Moore,Seattle Mariners,35,86,-51,,0.0,N
DeAndre Patton,Minnesota Twins,36,98,-62,,0.0,N
Isaiah Cutliff,Chicago Cubs,37,60,-23,Managed Risk,1.269860385419959,Y
Jonathan Jones,Chicago Cubs,38,143,-105,,0.0,N
Jorge Sandoval,Oakland Athletics,39,32,7,Top 100,4.539720770839918,Y
Josh Patrick,Colorado Rockies,40,120,-80,,0.0,N
Jeff Davies,Detroit Tigers,41,109,-68,,0.0,N
Danny Blanchard,Cincinnati Reds,43,73,-30,,0.0,N
Sin Kimotho,Cleveland Guardians,44,275,-231,,0.0,N
Steve Redding,Miami Marlins,45,156,-111,,0.0,N
Sam Haston,Montreal Expos,46,93,-47,,0.0,N
Pat Bollinger,San Francisco Giants,47,211,-164,,0.0,N
Bobby Steiner,New Orleans Voodoo,48,46,2,Top 100,4.049306144334055,Y
Bobby Cole,Texas Rangers,49,151,-102,,0.0,N
Ben Houck,Baltimore Orioles,50,51,-1,Managed Risk,1.600299345415539,Y
Tommy Krueger,San Diego Padres,51,40,11,Top 100,4.742453324894,Y
Billy Pyle,St. Louis Cardinals,52,212,-160,,0.0,N
Juan Gonzales,Boston Red Sox,53,149,-96,,0.0,N
Danny McNamara,Toronto Blue Jays,54,196,-142,,0.0,N
Jon Beason,Oakland Athletics,55,14,41,Top 100,5.368834809141684,Y
Dan Lantz,Los Angeles Dodgers,56,59,-3,Managed Risk,1.583051127543801,Y
Greg Shaughnessy,Montreal Expos,57,66,-9,Managed Risk,1.522760613339579,Y
Chris McDermott,Los Angeles Angels,58,74,-16,Managed Risk,1.4270125502755526,Y
Jeremy Walker,New York Mets,59,258,-199,,0.0,N
Jake Basnight,Atlanta Braves,60,79,-19,Managed Risk,1.371226662447,Y
Vince Figueroa,Minnesota Twins,61,28,33,Top 100,5.263180262308081,Y
Luis Perez,Chicago White Sox,62,12,50,Top 100,5.465912816362163,Y
Alfredo Diaz,Seattle Mariners,63,164,-101,,0.0,N
Gabe Havens,Milwaukee Brewers,64,54,10,Top 100,4.698947636399185,Y
Jesus Rios,Pittsburgh Pirates,65,78,-13,Managed Risk,1.4725929394740411,Y
Tomas Carballo,Houston Astros,66,227,-161,,0.0,N
Pat Ballow,Chicago Cubs,67,308,-241,,0.0,N
Bruce Brocklebank,Toronto Blue Jays,68,65,3,Top 100,4.193147180559945,Y
Jake Cone,Philadelphia Phillies,69,204,-135,,0.0,N
Norm Conway,Arizona Diamondbacks,70,100,-30,,0.0,N
Robert Uribe,New York Yankees,71,314,-243,,0.0,N
Tim Cassella,Colorado Rockies,72,89,-17,Managed Risk,1.4097643324038147,Y
Zach Petersen,Detroit Tigers,73,62,11,Top 100,4.742453324894,Y
Josh Hankins,Cincinnati Reds,75,162,-87,,0.0,N
Billy McSwain,Cleveland Guardians,76,132,-56,,0.0,N
R.J. Romsdahl,Miami Marlins,77,64,13,Top 100,4.819528664807629,Y
Chris Moore,Montreal Expos,78,9,69,Top 100,5.624247621024679,Y
Jon Johnsen,San Francisco Giants,79,253,-174,,0.0,N
Ben Jackson,New Orleans Voodoo,80,172,-92,,0.0,N
Chris Ladd,Texas Rangers,81,17,64,Top 100,5.587193634947818,Y
Sean August,Baltimore Orioles,82,123,-41,,0.0,N
Mike Bambauer,San Diego Padres,83,289,-206,,0.0,N
Kevin Weisberg,St. Louis Cardinals,84,97,-13,Managed Risk,1.4725929394740411,Y
Josh Hansen,Boston Red Sox,85,31,54,Top 100,5.503666592616236,Y
Juan Mendez,Oakland Athletics,86,267,-181,,0.0,N
Daniel Carreto,Los Angeles Dodgers,87,35,52,Top 100,5.485145956776061,Y
Travis Williams,Los Angeles Angels,88,37,51,Top 100,5.4756218592907135,Y
Jeremy Skaggs,New York Mets,89,176,-87,,0.0,N
Kevin Hillesheim,Atlanta Braves,90,115,-25,Managed Risk,1.1979398673070136,Y
Jamie Hall,Minnesota Twins,91,92,-1,Managed Risk,1.600299345415539,Y
Ben Spruiell,Chicago White Sox,92,415,-323,,0.0,N
Sean Morrison,Seattle Mariners,93,42,51,Top 100,5.4756218592907135,Y
Dave Harris,Milwaukee Brewers,94,405,-311,,0.0,N
Doug Jackson,Pittsburgh Pirates,95,63,32,Top 100,5.24825378073324,Y
Chris Stratford,Houston Astros,96,348,-252,,0.0,N
Kurt Beahan,Chicago Cubs,97,44,53,Top 100,5.494492023282137,Y
Robby Monson,Toronto Blue Jays,98,11,87,Top 100,5.738668407239103,Y
Jeff Sweeny,Philadelphia Phillies,99,351,-252,,0.0,N
Joe Nicholas,Arizona Diamondbacks,100,81,19,Top 100,4.997866136776995,Y
Oscar Vazquez,New York Yankees,101,96,5,Top 100,4.395879734614027,Y
Frank Godoy,Colorado Rockies,102,636,-534,,0.0,N
Bobby Slusser,Detroit Tigers,103,325,-222,,0.0,N
Dan Grimes,Cincinnati Reds,105,128,-23,Managed Risk,1.269860385419959,Y
Jimmy Schumacher,Cleveland Guardians,106,180,-74,,0.0,N
Rocco Cote,Miami Marlins,107,140,-33,,0.0,N
Jeremy Ogden,Montreal Expos,108,369,-261,,0.0,N
Mike Rushing,San Francisco Giants,109,188,-79,,0.0,N
Mike Gant,New Orleans Voodoo,110,632,-522,,0.0,N
Adrian Ard,Texas Rangers,111,101,10,Later,2.6989476363991853,Y
Josh Evans,Baltimore Orioles,112,270,-158,,0.0,N
Ron Warner,San Diego Padres,113,112,1,Later,1.8465735902799727,Y
Mike Rollins,St. Louis Cardinals,114,26,88,Top 100,5.74431818486607,Y
Chris Ruiz,Boston Red Sox,115,183,-68,,0.0,N
Pat Buck,Oakland Athletics,116,397,-281,,0.0,N
Eric Braaten,Los Angeles Dodgers,117,85,32,Top 100,5.24825378073324,Y
Nate Tillman,Los Angeles Angels,118,39,79,Top 100,5.691013317336941,Y
Ryan Rasco,New York Mets,119,144,-25,Managed Risk,1.1979398673070136,Y
Steve Carle,Atlanta Braves,120,135,-15,Managed Risk,1.4431471805599454,Y
Gary Ritchie,Minnesota Twins,121,288,-167,,0.0,N
Liosvany Cusenza,Chicago White Sox,122,198,-76,,0.0,N
Erik Menges,Seattle Mariners,123,221,-98,,0.0,N
Josh Beggs,Milwaukee Brewers,124,87,37,Top 100,5.318793079863193,Y
Orlando Ortiz,Pittsburgh Pirates,125,153,-28,Managed Risk,1.0246530721670275,Y
Mike Crescenzo,Houston Astros,126,131,-5,Managed Risk,1.5645241345053704,Y
Ben Bilotti,Chicago Cubs,127,231,-104,,0.0,N
Jonathan Lott,Toronto Blue Jays,128,47,81,Top 100,5.703359623632126,Y
Chad Hediger,Philadelphia Phillies,129,299,-170,,0.0,N
Dave Freilich,Arizona Diamondbacks,130,121,9,Later,2.651292546497023,Y
Greg Warren,New York Yankees,131,129,2,Later,2.049306144334055,Y
Johnny Sandberg,Colorado Rockies,132,161,-29,Managed Risk,0.9232867951399863,Y
R.J. Oyler,Detroit Tigers,133,48,85,Top 100,5.727173648126754,Y
Jared Buchanan,Cincinnati Reds,135,444,-309,,0.0,N
Jonathan Creek,Cleveland Guardians,136,318,-182,,0.0,N
Alex Ziemke,Miami Marlins,137,108,29,Later,3.200598690831078,Y
Wil Resendiz,Montreal Expos,138,339,-201,,0.0,N
Rhett McLean,San Francisco Giants,139,125,14,Later,2.8540251005511053,Y
Mike Soto,New Orleans Voodoo,140,122,18,Later,2.97221948958322,Y
Kevin Trout,Texas Rangers,141,248,-107,,0.0,N
Eric Rogers,Baltimore Orioles,142,80,62,Top 100,5.571567363195767,Y
Toby Ashton,San Diego Padres,143,202,-59,,0.0,N
Charlie Ennis,St. Louis Cardinals,144,160,-16,Managed Risk,1.4270125502755526,Y
Chris Schulz,Boston Red Sox,145,596,-451,,0.0,N
Steve Bartok,Oakland Athletics,146,295,-149,,0.0,N
