Team,Top 100 Stamps,Later Stamps,Managed Risk,Total Points,Rank,Grade
Toronto Blue Jays,3,15,1,74.8,1,A
Arizona Diamondbacks,2,14,3,66.1,2,A
Los Angeles Dodgers,2,13,2,65.0,3,B
Montreal Expos,3,13,1,64.0,4,B
Detroit Tigers,2,14,0,61.9,5,B
Chicago White Sox,2,13,1,61.7,6,B
Texas Rangers,1,15,1,61.5,7,B
San Diego Padres,2,15,1,61.0,8,B
Baltimore Orioles,2,12,2,59.7,9,B
Miami Marlins,1,14,0,57.3,10,B
Oakland Athletics,3,11,0,56.4,11,B
New York Yankees,3,12,0,56.4,12,B
Cleveland Guardians,1,13,1,55.9,13,C
Chicago Cubs,2,10,6,55.4,14,C
Pittsburgh Pirates,3,8,4,53.7,15,C
Seattle Mariners,2,11,1,49.7,16,C
Milwaukee Brewers,4,6,3,48.7,17,C
Atlanta Braves,2,9,4,46.5,18,D
Cincinnati Reds,0,11,4,43.6,19,D
Los Angeles Angels,2,7,4,41.0,20,D
St. Louis Cardinals,1,8,4,40.9,21,D
New Orleans Voodoo,1,10,2,40.7,22,D
Boston Red Sox,2,7,3,38.8,23,D
New York Mets,0,10,2,38.4,24,D
Colorado Rockies,2,6,4,36.7,25,F
Minnesota Twins,1,7,3,34.5,26,F
Philadelphia Phillies,1,6,4,33.2,27,F
Houston Astros,1,7,2,32.5,28,F
San Francisco Giants,0,7,1,28.0,29,F
