Team,Top 100 Stamps,Later Stamps,Managed Risk,Total Points,Rank,Grade
Washington Nationals,12,10,2,113.8,1,A
Toronto Blue Jays,3,15,1,74.8,2,C
Arizona Diamondbacks,2,14,3,66.1,3,C
Los Angeles Dodgers,2,13,2,65.0,4,C
Montreal Expos,3,13,1,64.0,5,C
Detroit Tigers,2,14,0,61.9,6,D
Chicago White Sox,2,13,1,61.7,7,D
Texas Rangers,1,15,1,61.5,8,D
San Diego Padres,2,15,1,61.0,9,D
Baltimore Orioles,2,12,2,59.7,10,D
Miami Marlins,1,14,0,57.3,11,D
Oakland Athletics,3,11,0,56.4,12,D
New York Yankees,3,12,0,56.4,13,D
Cleveland Guardians,1,13,1,55.9,14,D
Chicago Cubs,2,10,6,55.4,15,D
Pittsburgh Pirates,3,8,4,53.7,16,D
Seattle Mariners,2,11,1,49.7,17,D
Milwaukee Brewers,4,6,3,48.7,18,D
Atlanta Braves,2,9,4,46.5,19,D
Cincinnati Reds,0,11,4,43.6,20,F
Los Angeles Angels,2,7,4,41.0,21,F
St. Louis Cardinals,1,8,4,40.9,22,F
New Orleans Voodoo,1,10,2,40.7,23,F
Boston Red Sox,2,7,3,38.8,24,F
New York Mets,0,10,2,38.4,25,F
Colorado Rockies,2,6,4,36.7,26,F
Minnesota Twins,1,7,3,34.5,27,F
Philadelphia Phillies,1,6,4,33.2,28,F
Houston Astros,1,7,2,32.5,29,F
San Francisco Giants,0,7,1,28.0,30,F
