Position Distribution
Position,Count,Percentage
1B,9,0.97%
2B,50,5.38%
3B,54,5.81%
C,86,9.25%
CF,88,9.46%
DH,26,2.80%
LF,37,3.98%
RF,44,4.73%
RP,209,22.47%
SP,310,33.33%
SS,17,1.83%

Position Strength
Position,Count,Mean,Median,Min,Max,P25,P75
1B,9,43.62,43.59,38.96,53.89,39.29,44.72
2B,50,54.29,54.91,38.45,68.09,46.30,61.36
3B,54,55.42,54.73,42.12,69.29,51.19,59.09
C,86,52.11,52.62,38.19,64.92,47.50,56.23
CF,88,58.31,59.30,46.04,68.36,54.44,61.88
DH,26,53.42,51.52,37.41,67.84,47.09,62.46
LF,37,48.76,48.27,35.88,66.94,42.53,54.16
RF,44,51.23,49.85,37.29,69.16,44.34,56.10
RP,209,47.18,43.54,33.84,67.72,39.47,55.19
SP,310,45.95,44.85,30.36,69.25,39.83,50.46
SS,17,59.91,60.11,54.12,68.63,56.45,61.93

Prospect Tiers
Tier,Count,Percentage,Threshold
Elite,107,11.51%,>= 62
Plus,212,22.80%,54-61
Average,178,19.14%,48-53
Org Depth,433,46.56%,< 48
