ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
105337,Mike Lane,RP,21.0,,,,34.81,39.19,,,,,30.5,39.75,54.95,0.0,0.0,-2.0,N/A,False,,,,,,,,,,RP,36.61
105338,Mike Prather,RP,22.0,,,,34.5,38.83,,,,,29.75,39.25,42.65,0.0,0.0,1.0,N/A,False,,,,,,,,,,RP,32.98
105343,Joe Swerdlow,SP,22.0,,,,32.03,36.54,,,,,23.75,36.5,55.5,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,27.6
105345,Jamel Silver,RP,22.0,,,,33.39,37.87,,,,,30.75,42.0,41.3,0.0,0.0,-2.0,N/A,False,,,,,,,,,,RP,33.39
105352,Phil Robinson,RP,22.0,,,,35.1,39.06,,,,,33.5,41.75,38.29,0.0,0.0,0.5,N/A,False,,,,,,,,,,RP,34.7
105367,Pat Jensen,RP,22.0,,,,34.59,38.39,,,,,29.0,37.5,53.6,0.0,0.0,-1.0,N/A,False,,,,,,,,,,RP,35.15
105372,Josh Rudolph,RP,21.0,,,,35.03,37.69,,,,,29.0,35.0,57.27,0.0,0.0,-1.0,N/A,False,,,,,,,,,,RP,36.07
105377,Chris Meredith,SP,22.0,,,,31.06,34.77,,,,,29.5,42.25,41.15,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,24.33
105387,Josh Silverstein,SP,21.0,,,,35.13,41.49,,,,,30.75,41.75,40.8,0.0,0.0,2.5,N/A,False,,,,,,,,,,SP,32.76
105392,Bobby Willis,SP,22.0,,,,33.8,39.06,,,,,30.75,42.0,36.48,0.0,0.0,0.5,N/A,False,,,,,,,,,,SP,31.9
105401,Josh Hession,SP,22.0,,,,32.05,40.51,,,,,23.75,43.0,43.27,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,27.66
105405,Bobby Esposito,RP,22.0,,,,32.76,40.67,,,,,21.5,39.5,54.42,0.0,0.0,0.0,N/A,False,,,,,,,,,,RP,29.73
105408,Nate Alexander,SP,22.0,,,,30.88,34.73,,,,,29.5,43.0,35.2,0.0,0.0,-2.0,N/A,False,,,,,,,,,,SP,25.64
105413,Mike McManus,SP,22.0,,,,31.07,34.88,,,,,27.0,40.0,41.25,0.0,0.0,-0.5,N/A,False,,,,,,,,,,SP,24.85
105431,Andres Vega,SP,21.0,,,,30.8,31.4,,,,,23.0,25.75,37.1,0.0,0.0,-2.5,N/A,False,,,,,,,,,,SP,25.82
105436,Kory Bracy,RP,22.0,,,,35.52,39.25,,,,,29.0,36.5,57.0,0.0,0.0,0.0,N/A,False,,,,,,,,,,RP,36.0
105470,Mike Duttlinger,3B,22.0,,,,33.34,39.83,29.25,42.25,49.75,24.0,,,,0.0,0.0,-0.5,N/A,False,,31.76,,,,30.71,,,29.25,1B,31.76
105478,Jorge Jenkins,SP,21.0,,,,31.38,34.64,,,,,21.0,32.0,43.35,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,25.47
105511,Jonathan Zint,SP,22.0,,,,31.64,37.86,,,,,27.75,45.0,41.55,0.33,0.0,-2.0,N/A,False,,,,,,,,,,SP,28.01
105519,Tristan Niess,RP,22.0,,,,34.76,37.07,,,,,36.5,42.0,40.58,0.0,0.0,-3.0,N/A,False,,,,,,,,,,RP,37.52
105527,Brandon Tsegai,RP,22.0,,,,32.59,38.98,,,,,27.0,43.5,42.65,0.33,0.0,-2.0,N/A,False,,,,,,,,,,RP,30.91
105539,Tim Harned,3B,22.0,,,,39.16,41.83,31.25,37.0,45.83,24.25,,,,0.0,0.0,1.5,N/A,False,,32.48,,40.01,,,,31.71,31.25,3B,40.01
105565,Devin Parker,RP,22.0,,,,34.02,37.24,,,,,32.5,40.5,36.08,0.0,0.0,-0.5,N/A,False,,,,,,,,,,RP,33.39
105587,Jimmy Rich,SP,22.0,,,,30.92,33.71,,,,,30.0,40.5,53.93,0.0,0.0,-3.5,N/A,False,,,,,,,,,,SP,27.29
105597,Jon Pass,RP,22.0,,,,33.58,38.08,,,,,28.25,39.25,46.7,0.0,0.0,-1.0,N/A,False,,,,,,,,,,RP,32.86
105611,Brad Miller,RP,22.0,,,,36.97,48.44,,,,,29.0,43.25,66.95,0.0,0.0,0.0,N/A,False,,,,,,,,,,RP,38.49
105638,Arturo Cascante,SP,22.0,,,,32.55,36.38,,,,,27.25,37.75,44.17,0.0,0.0,1.0,N/A,False,,,,,,,,,,SP,28.13
105639,Joel Morris,RP,22.0,,,,32.38,34.04,,,,,26.75,32.5,34.34,0.0,0.0,0.0,N/A,False,,,,,,,,,,RP,28.65
106764,Eric Hoverson,RP,22.0,,,,33.51,37.96,,,,,27.5,38.5,46.29,0.0,0.0,-0.5,N/A,False,,,,,,,,,,RP,32.2
106776,Corey Hall,CF,22.0,,,,33.46,37.1,27.0,36.5,47.75,41.5,,,,0.0,0.0,0.0,N/A,False,,,,,,31.56,,,27.0,LF,31.56
106778,Jeff Vaden,C,22.0,,,,38.55,40.16,31.25,39.0,43.75,26.0,,,,0.0,0.0,1.0,N/A,False,39.74,,,,,,,,31.25,C,39.74
106782,Alex Gomez,RP,22.0,,,,35.54,38.98,,,,,35.0,42.0,39.15,0.0,0.0,0.0,N/A,False,,,,,,,,,,RP,36.04
106810,Tony Mercado,CF,22.0,,,,42.56,47.65,27.25,39.5,53.67,52.75,,,,0.0,0.0,-2.0,N/A,False,,,,,,33.7,47.05,33.51,27.25,CF,47.05
106813,Greg Nazario,C,21.0,,,,44.08,51.2,29.5,48.5,45.0,26.0,,,,0.44,0.0,1.5,N/A,False,44.37,,,,,30.58,,,29.5,C,44.37
106823,Chris Crockett,RP,22.0,,,,32.57,38.33,,,,,24.5,39.5,43.33,0.0,0.0,0.0,N/A,False,,,,,,,,,,RP,29.21
106842,Willie Centeno,RP,21.0,,,,36.97,45.41,,,,,32.5,44.25,56.4,0.0,0.0,0.0,N/A,False,,,,,,,,,,RP,38.48
106872,Tomas Delgado,SP,21.0,,,,34.05,36.29,,,,,34.5,40.0,39.35,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,32.97
106883,Andy Layne,SP,22.0,,,,33.79,38.42,,,,,26.0,36.25,40.35,0.0,0.0,3.5,N/A,False,,,,,,,,,,SP,28.87
