Player Name,Team,Overall Pick,Projection Rank,Delta,Stamp Type,Points,VOS Stamp
Miguel Trenado,Oakland Athletics,1,11,-10,,0.0,N
Randy Fuller,Milwaukee Brewers,2,26,-24,,0.0,N
Garrett Skaggs,Pittsburgh Pirates,3,13,-10,,0.0,N
Wayne Dares,Boston Red Sox,4,5,-1,,0.0,N
Marty Milberger,New York Mets,5,1,4,Top 100,3.8047189562170503,Y
Marco Hernandez,San Diego Padres,6,14,-8,,0.0,N
Nick DeLome,Anaheim Angels,7,142,-135,,0.0,N
Jaime Dorry,Cleveland Indians,8,66,-58,,0.0,N
Robert Balogh,Colorado Rockies,9,23,-14,,0.0,N
Nick Akers,Chicago White Sox,10,3,7,Top 100,4.039720770839918,Y
Pat Cameli,Montreal Expos,11,39,-28,,0.0,N
