Team,Top 100 Stamps,Later Stamps,Managed Risk,Total Points,Rank,Grade
Houston Astros,11,14,0,124.9,1,A
Minnesota Twins,5,14,0,78.7,2,C
Oakland Athletics,3,13,2,70.2,3,C
Detroit Tigers,2,13,2,61.8,4,D
Colorado Rockies,2,12,3,61.3,5,D
St. Louis Cardinals,1,14,2,60.8,6,D
Montreal Expos,4,10,1,60.3,7,D
Seattle Mariners,3,11,3,57.9,8,D
Charlotte Flyers,4,9,1,57.7,9,D
Chicago White Sox,5,7,2,56.2,10,D
Philadelphia Phillies,2,13,0,56.0,11,D
Atlanta Braves,3,9,0,51.2,12,D
Boston Red Sox,1,10,5,49.8,13,D
Pittsburgh Pirates,1,10,2,47.1,14,D
Chicago Cubs,1,12,1,47.1,15,D
Cleveland Indians,2,9,2,47.0,16,D
San Francisco Giants,3,6,4,46.5,17,F
Texas Rangers,2,10,0,43.4,18,F
Milwaukee Brewers,2,8,2,43.0,19,F
Cincinnati Reds,3,5,3,42.0,20,F
San Diego Padres,0,10,2,41.9,21,F
Toronto Blue Jays,3,6,3,41.3,22,F
Las Vegas Rollers,2,8,1,41.1,23,F
New York Mets,3,7,1,39.8,24,F
New York Yankees,1,9,1,38.5,25,F
Washington Nationals,2,7,1,36.8,26,F
Baltimore Orioles,1,8,0,34.1,27,F
Los Angeles Dodgers,1,6,2,31.6,28,F
Anaheim Angels,2,5,2,30.4,29,F
Ottawa Capitals,0,8,0,27.0,30,F
