Position Distribution
Position,Count,Percentage
1B,8,0.78%
2B,50,4.86%
3B,68,6.61%
C,78,7.58%
CF,87,8.45%
DH,22,2.14%
LF,49,4.76%
RF,49,4.76%
RP,214,20.80%
SP,392,38.10%
SS,12,1.17%

Position Strength
Position,Count,Mean,Median,Min,Max,P25,P75
1B,8,44.55,43.17,36.98,56.92,38.18,47.84
2B,50,52.51,52.09,36.64,67.14,45.71,59.55
3B,68,52.41,53.30,40.18,66.57,46.37,56.62
C,78,50.17,49.27,38.18,66.05,45.51,53.53
CF,87,57.44,58.60,42.06,67.59,53.53,61.44
DH,22,50.50,51.52,35.93,66.57,40.22,60.00
LF,49,49.47,48.57,38.00,68.61,42.50,55.34
RF,49,49.65,47.69,38.75,67.23,42.50,56.32
RP,214,46.27,43.30,32.93,68.53,39.44,51.70
SP,392,43.41,41.99,31.63,67.39,37.94,47.46
SS,12,58.96,59.44,51.83,64.59,54.79,60.15

Prospect Tiers
Tier,Count,Percentage,Threshold
Elite,77,7.48%,>= 62
Plus,196,19.05%,54-61
Average,172,16.72%,48-53
Org Depth,584,56.75%,< 48
