ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
87696,Aaron Kennedy,C,21.0,,,,38.53,41.18,28.88,41.04,45.5,32.79,,,0.0,0.0,0.0,Minute Maid Park,True,40.71,,,,,,,,28.88,C,40.71
87698,Dave Todd,SP,22.0,,,,32.84,37.51,,,,,27.21,40.92,0.0,0.0,0.0,Minute Maid Park,True,,,,,,,,,,SP,29.95
87703,Steve Young,RP,21.0,,,,36.3,44.6,,,,,27.02,62.48,0.0,0.0,1.5,Minute Maid Park,True,,,,,,,,,,RP,35.89
87710,Eduardo Garcia,SP,22.0,,,,33.66,42.33,,,,,26.89,52.7,0.0,0.0,0.0,Minute Maid Park,True,,,,,,,,,,SP,32.05
87726,Matt Bowers,SP,22.0,,,,31.36,33.69,,,,,25.13,51.48,0.0,0.0,0.0,Minute Maid Park,True,,,,,,,,,,SP,25.4
87730,Alex Sales,C,22.0,,,,36.91,42.28,29.85,42.8,41.25,25.37,,,0.0,0.0,2.0,Minute Maid Park,True,36.38,30.94,,,,,,,29.85,C,36.38
87731,Sam Palcic,1B,22.0,,,,31.43,38.36,25.64,40.49,0.0,26.59,,,0.0,0.0,0.0,Minute Maid Park,True,,,,,,,,,25.64,DH,25.64
87732,Nick Miner,RP,22.0,,,,35.91,42.17,,,,,32.7,44.75,0.0,0.0,1.0,Minute Maid Park,True,,,,,,,,,,RP,35.71
87734,Brett Harris,SP,22.0,,,,32.95,38.69,,,,,24.89,36.75,0.0,0.0,3.0,Minute Maid Park,True,,,,,,,,,,SP,27.26
87738,Bob Creviston,3B,22.0,,,,39.73,44.17,25.34,39.32,50.23,42.79,,,0.0,0.0,-1.5,Minute Maid Park,True,,28.48,,,,30.86,43.69,,25.34,CF,43.69
87741,Bobby Alemany,RP,22.0,,,,35.88,40.74,,,,,32.33,53.65,0.0,0.0,-1.0,Minute Maid Park,True,,,,,,,,,,RP,37.66
87744,Todd Sistrunk,3B,22.0,,,,32.97,39.43,24.16,39.55,45.39,25.62,,,0.0,0.0,2.0,Minute Maid Park,True,,25.81,,,,,,28.3,24.16,RF,28.3
87746,Ed Waldecker,SP,22.0,,,,33.71,39.32,,,,,28.64,48.75,0.0,0.0,-0.5,Minute Maid Park,True,,,,,,,,,,SP,32.67
87757,Glenn Goff,RF,22.0,,,,33.28,35.81,28.11,33.54,0.0,27.57,,,0.0,0.0,3.0,Minute Maid Park,True,,,,,,,,,28.11,DH,28.11
87759,Josh Stack,RP,21.0,,,,35.77,46.14,,,,,27.78,60.5,0.0,0.0,0.5,Minute Maid Park,True,,,,,,,,,,RP,35.96
87761,David Mundy,SP,22.0,,,,31.83,37.15,,,,,24.13,45.72,0.0,0.0,1.0,Minute Maid Park,True,,,,,,,,,,SP,25.95
87768,Don Herrera,RP,21.0,,,,35.89,43.62,,,,,30.12,56.4,0.0,0.0,0.0,Minute Maid Park,True,,,,,,,,,,RP,36.69
87781,Greg Burkett,SP,22.0,,,,32.41,35.76,,,,,24.32,51.35,0.0,0.0,1.5,Minute Maid Park,True,,,,,,,,,,SP,27.23
87783,Pat Sills,SP,22.0,,,,33.22,39.03,,,,,28.21,41.92,0.0,0.0,0.0,Minute Maid Park,True,,,,,,,,,,SP,30.95
87793,Josh DeBiasi,SP,22.0,,,,33.14,38.23,,,,,26.84,46.38,0.0,0.0,2.5,Minute Maid Park,True,,,,,,,,,,SP,28.25
87795,Brad Queen,LF,22.0,,,,41.4,44.92,33.08,42.96,45.84,47.28,,,0.0,0.0,0.5,Minute Maid Park,True,,,,,,36.1,43.48,,33.08,CF,43.48
87798,Paul Snodgrass,SP,22.0,,,,33.41,40.25,,,,,24.08,50.9,0.0,0.0,2.0,Minute Maid Park,True,,,,,,,,,,SP,29.45
87816,Mike Anderson,SP,21.0,,,,32.71,36.97,,,,,31.29,40.3,0.0,0.0,1.5,Minute Maid Park,True,,,,,,,,,,SP,28.09
87824,Josh Shanklin,C,21.0,,,,39.82,42.55,28.38,39.36,49.4,31.04,,,0.0,0.0,-1.0,Minute Maid Park,True,43.3,,,39.33,,,,31.33,28.38,C,43.3
87826,Ryan Smith,RP,21.0,,,,35.57,42.94,,,,,31.16,50.9,0.0,0.0,0.0,Minute Maid Park,True,,,,,,,,,,RP,36.09
87827,Matt Aase,RP,22.0,,,,34.06,39.08,,,,,30.64,48.1,0.0,0.0,-2.0,Minute Maid Park,True,,,,,,,,,,RP,35.0
87829,Chris Bibby,RP,22.0,,,,36.73,44.92,,,,,34.21,61.8,0.0,0.0,-3.0,Minute Maid Park,True,,,,,,,,,,RP,41.11
87859,Hank Douglass,SP,22.0,,,,33.61,36.17,,,,,25.08,51.8,0.0,0.0,1.5,Minute Maid Park,True,,,,,,,,,,SP,30.43
