Team,Top 100 Stamps,Later Stamps,Managed Risk,Total Points,Rank,Grade
Las Vegas Knights,7,23,7,129.2,1,A
Vancouver Cascades,5,16,1,92.0,2,B
Boston Red Sox,7,11,2,86.0,3,C
Tampa Bay Rays,4,14,6,84.2,4,C
San Francisco Giants,1,17,1,77.2,5,C
Cleveland Indians,5,12,1,77.1,6,C
Pittsburgh Pirates,3,13,0,74.8,7,C
Milwaukee Brewers,2,15,3,74.1,8,C
Minnesota Twins,4,12,2,73.9,9,C
Chicago White Sox,3,12,1,68.9,10,C
San Diego Padres,3,12,2,68.8,11,C
Colorado Rockies,2,14,0,67.5,12,D
Washington Nationals,2,14,2,66.5,13,D
London Royals,2,13,3,65.3,14,D
Philadelphia Phillies,3,12,1,64.3,15,D
New York Mets,0,15,2,61.8,16,D
Toronto Blue Jays,2,13,0,60.6,17,D
Chicago Cubs,2,12,4,60.1,18,D
Arizona Diamondbacks,2,12,0,56.3,19,D
Seattle Mariners,2,11,3,55.6,20,D
Indianapolis Ignition,3,8,3,54.2,21,D
Portland Hops,2,11,1,54.1,22,D
Oakland Athletics,1,11,1,52.9,23,D
New York Yankees,1,11,2,52.4,24,D
Baltimore Orioles,1,11,2,52.2,25,D
St. Louis Cardinals,2,9,5,50.5,26,D
Detroit Tigers,0,11,1,46.8,27,F
Memphis Blues,1,11,0,45.7,28,F
Houston Astros,0,10,2,42.1,29,F
Los Angeles Dodgers,1,9,1,42.0,30,F
California Angels,1,9,0,41.9,31,F
Texas Rangers,0,9,4,40.3,32,F
Montreal Expos,0,8,2,36.9,33,F
Atlanta Braves,0,8,0,30.7,34,F
Cincinnati Reds,1,5,1,27.4,35,F
