ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Draft_Age_Adj,Draft_RP_Penalty,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
136773,Beckan Austin,RP,22.0,,,,31.92,34.46,,,,,26.17,34.98,34.54,0.0,0.0,-0.5,1.5,-2.0,Las Vegas Knights Ballpark,True,,,,,,,,,,RP,28.26
136792,Mason Brinkman,C,21.0,,,,40.1,44.55,26.2,42.43,46.45,20.73,,,,0.0,0.0,0.0,0.9,0.0,Las Vegas Knights Ballpark,True,41.71,,,,,28.32,,28.71,26.2,C,41.71
136820,V.J. Harden,SP,22.0,,,,31.85,35.14,,,,,21.99,32.32,37.1,0.0,0.0,0.5,1.5,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,25.01
136847,Gustavus Wagoner,RP,21.0,,,,30.42,32.69,,,,,21.67,31.99,28.62,0.0,0.0,-0.5,0.9,-2.0,Las Vegas Knights Ballpark,True,,,,,,,,,,RP,23.41
136872,Nathaniel Wynn,SP,21.0,,,,30.05,35.51,,,,,22.2,41.9,40.35,0.0,0.0,-1.5,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,20.83
136905,Maddox Emmons,RP,21.0,,,,33.26,38.77,,,,,27.7,40.99,45.52,0.0,0.0,0.0,0.9,-2.0,Las Vegas Knights Ballpark,True,,,,,,,,,,RP,32.16
136933,Johnny Francis,SP,22.0,,,,31.79,36.04,,,,,22.2,34.85,40.33,0.0,0.0,-0.5,1.5,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,25.82
137018,Timmie Alvarez,SP,21.0,,,,32.48,34.79,,,,,26.27,33.32,35.1,0.0,0.0,0.0,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,28.04
137045,C.J. Debra,SP,22.0,,,,30.0,31.87,,,,,20.2,29.04,36.8,0.0,0.0,0.0,1.5,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,18.52
137048,Kurt Stewart,SP,22.0,,,,33.16,36.59,,,,,30.32,39.14,37.8,0.0,0.0,0.0,1.5,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,29.32
137052,René Pichardo,SP,21.0,,,,29.91,31.74,,,,,22.2,31.04,39.75,0.0,0.0,-2.0,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,20.71
137063,Vinicius Munford,SP,21.0,,,,31.83,35.88,,,,,20.2,32.32,34.5,0.0,0.0,3.0,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,23.06
137079,Krispen Chan,RP,21.0,,,,34.51,40.32,,,,,26.88,38.71,47.7,0.0,0.0,3.0,0.9,-2.0,Las Vegas Knights Ballpark,True,,,,,,,,,,RP,32.09
137118,Mason Crowell,SS,21.0,,,,34.96,41.01,21.43,38.75,43.4,50.26,,,,0.0,0.0,-2.0,0.9,0.0,Las Vegas Knights Ballpark,True,,25.02,,36.02,,26.58,,,21.43,3B,36.02
137621,Chris Bolt,RP,22.0,,,,33.41,38.23,,,,,26.17,37.99,37.28,0.0,0.0,3.0,1.5,-2.0,Las Vegas Knights Ballpark,True,,,,,,,,,,RP,28.94
137646,Johnny Dryden,SP,22.0,,,,32.89,38.88,,,,,25.55,39.39,40.75,0.0,0.0,0.0,1.5,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,28.59
137660,Bill Walker,RP,21.0,,,,34.06,37.61,,,,,29.89,38.48,44.75,0.0,0.0,0.5,0.9,-2.0,Las Vegas Knights Ballpark,True,,,,,,,,,,RP,33.6
137738,Lance Piros,RF,22.0,,,,34.74,39.43,29.63,39.44,42.65,38.64,,,,0.0,0.0,0.5,1.5,0.0,Las Vegas Knights Ballpark,True,,,,,,32.48,,,29.63,LF,32.48
137769,Kyle Lyamin,SP,22.0,,,,32.65,33.83,,,,,22.2,25.99,38.3,0.0,0.0,2.5,1.5,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,25.42
137791,Doug Albers,SP,22.0,,,,31.53,35.45,,,,,22.2,34.57,48.55,0.0,0.0,2.0,1.5,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,22.47
137946,Nick Neudecker,C,21.0,,,,36.46,39.83,32.76,41.91,39.75,24.83,,,,0.0,0.0,-0.5,0.9,0.0,Las Vegas Knights Ballpark,True,37.26,,,,,,,,32.76,C,37.26
137947,Michael Blair,SP,21.0,,,,31.84,35.66,,,,,22.99,34.57,36.0,0.0,0.0,0.5,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,25.59
137948,Christopher Swope,CF,21.0,,,,52.78,59.42,31.22,50.46,56.44,50.18,,,,0.44,0.0,0.5,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,36.64,49.69,,31.22,CF,49.69
137969,Bob Benatar,CF,21.0,,,,57.6,62.51,30.27,50.75,56.13,54.53,,,,0.5,0.0,3.0,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,36.45,50.69,36.15,30.27,CF,50.69
137988,Colton Snyder,SP,20.0,,,,31.35,36.49,,,,,22.2,37.62,36.55,0.0,0.0,0.0,0.3,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,25.07
138005,Halsten Woodcock,RP,21.0,,,,30.79,34.98,,,,,24.45,40.04,36.16,0.0,0.0,-3.0,0.9,-2.0,Las Vegas Knights Ballpark,True,,,,,,,,,,RP,27.38
138010,Matt Lamie,SP,21.0,,,,31.04,35.28,,,,,24.78,38.9,27.65,0.0,0.0,-2.0,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,25.36
138021,Isaiah Horton,RP,21.0,,,,32.35,37.77,,,,,26.7,41.53,38.55,0.0,0.0,0.0,0.9,-2.0,Las Vegas Knights Ballpark,True,,,,,,,,,,RP,29.66
138033,Ty Baldwin,SP,20.0,,,,36.59,50.58,,,,,31.08,47.21,51.15,0.48,0.0,2.0,0.3,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,35.1
138042,Charlie Gano,RF,21.0,,,,36.04,43.01,31.52,42.85,53.8,27.88,,,,0.0,0.0,1.5,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,34.45,,34.54,31.52,RF,34.54
138067,Simão Woolbright,SP,21.0,,,,30.81,35.44,,,,,25.27,40.88,38.75,0.0,0.0,2.0,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,20.47
138076,John Reyes,SP,21.0,,,,30.78,38.03,,,,,21.96,42.92,36.5,0.0,0.0,0.0,0.9,0.0,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,22.37
138118,Gabe Janner,2B,21.0,,,,41.66,48.2,27.56,43.65,45.02,34.0,,,,0.0,0.0,0.5,0.9,0.0,Las Vegas Knights Ballpark,True,,29.23,34.9,,,30.99,42.82,,27.56,CF,42.82
