ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Draft_Age_Adj,Draft_RP_Penalty,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
136773,Beckan Austin,RP,22.0,,,,31.88,34.38,,,,,26.0,34.75,34.54,0.0,0.0,-0.5,1.5,-2.0,N/A,False,,,,,,,,,,RP,28.13
136792,Mason Brinkman,C,21.0,,,,40.03,44.37,26.0,42.0,45.92,20.25,,,,0.0,0.0,0.0,0.9,0.0,N/A,False,41.64,,,,,27.97,,28.42,26.0,C,41.64
136820,V.J. Harden,SP,22.0,,,,31.79,35.01,,,,,21.75,32.0,37.1,0.0,0.0,0.5,1.5,0.0,N/A,False,,,,,,,,,,SP,24.82
136847,Gustavus Wagoner,RP,21.0,,,,30.39,32.63,,,,,21.5,31.75,28.62,0.0,0.0,-0.5,0.9,-2.0,N/A,False,,,,,,,,,,RP,23.28
136872,Nathaniel Wynn,SP,21.0,,,,30.02,35.34,,,,,22.0,41.5,40.35,0.0,0.0,-1.5,0.9,0.0,N/A,False,,,,,,,,,,SP,20.67
136905,Maddox Emmons,RP,21.0,,,,33.2,38.63,,,,,27.5,40.75,45.52,0.0,0.0,0.0,0.9,-2.0,N/A,False,,,,,,,,,,RP,32.01
136933,Johnny Francis,SP,22.0,,,,31.74,35.88,,,,,22.0,34.5,40.33,0.0,0.0,-0.5,1.5,0.0,N/A,False,,,,,,,,,,SP,25.67
137018,Timmie Alvarez,SP,21.0,,,,32.4,34.67,,,,,26.0,33.0,35.1,0.0,0.0,0.0,0.9,0.0,N/A,False,,,,,,,,,,SP,27.82
137045,C.J. Debra,SP,22.0,,,,29.97,31.8,,,,,20.0,28.75,36.8,0.0,0.0,0.0,1.5,0.0,N/A,False,,,,,,,,,,SP,18.36
137048,Kurt Stewart,SP,22.0,,,,33.07,36.4,,,,,30.0,38.75,37.8,0.0,0.0,0.0,1.5,0.0,N/A,False,,,,,,,,,,SP,29.06
137052,René Pichardo,SP,21.0,,,,29.88,31.67,,,,,22.0,30.75,39.75,0.0,0.0,-2.0,0.9,0.0,N/A,False,,,,,,,,,,SP,20.55
137063,Vinicius Munford,SP,21.0,,,,31.78,35.73,,,,,20.0,32.0,34.5,0.0,0.0,3.0,0.9,0.0,N/A,False,,,,,,,,,,SP,22.9
137079,Krispen Chan,RP,21.0,,,,34.46,40.18,,,,,26.75,38.5,47.7,0.0,0.0,3.0,0.9,-2.0,N/A,False,,,,,,,,,,RP,31.99
137118,Mason Crowell,SS,21.0,,,,34.85,40.76,21.25,38.5,43.08,49.0,,,,0.0,0.0,-2.0,0.9,0.0,N/A,False,,24.81,,35.8,,26.2,,,21.25,3B,35.8
137621,Chris Bolt,RP,22.0,,,,33.36,38.09,,,,,26.0,37.75,37.28,0.0,0.0,3.0,1.5,-2.0,N/A,False,,,,,,,,,,RP,28.82
137646,Johnny Dryden,SP,22.0,,,,32.8,38.63,,,,,25.25,39.0,40.75,0.0,0.0,0.0,1.5,0.0,N/A,False,,,,,,,,,,SP,28.35
137660,Bill Walker,RP,21.0,,,,34.02,37.49,,,,,29.75,38.25,44.75,0.0,0.0,0.5,0.9,-2.0,N/A,False,,,,,,,,,,RP,33.5
137738,Lance Piros,RF,22.0,,,,34.5,38.98,29.25,39.0,41.75,37.75,,,,0.0,0.0,0.5,1.5,0.0,N/A,False,,,,,,31.98,,,29.25,LF,31.98
137769,Kyle Lyamin,SP,22.0,,,,32.59,33.74,,,,,22.0,25.75,38.3,0.0,0.0,2.5,1.5,0.0,N/A,False,,,,,,,,,,SP,25.26
137791,Doug Albers,SP,22.0,,,,31.48,35.31,,,,,22.0,34.25,48.55,0.0,0.0,2.0,1.5,0.0,N/A,False,,,,,,,,,,SP,22.31
137946,Nick Neudecker,C,21.0,,,,36.4,39.48,32.5,41.5,39.75,24.25,,,,0.0,0.0,-0.5,0.9,0.0,N/A,False,37.16,,,,,,,,32.5,C,37.16
137947,Michael Blair,SP,21.0,,,,31.78,35.52,,,,,22.75,34.25,36.0,0.0,0.0,0.5,0.9,0.0,N/A,False,,,,,,,,,,SP,25.4
137948,Christopher Swope,CF,21.0,,,,50.61,58.13,31.0,50.0,55.0,49.0,,,,0.44,0.0,0.5,0.9,0.0,N/A,False,,,,,,36.17,48.48,,31.0,CF,48.48
137969,Bob Benatar,CF,21.0,,,,56.02,61.45,30.0,50.0,54.83,53.25,,,,0.5,0.0,3.0,0.9,0.0,N/A,False,,,,,,35.93,49.36,35.7,30.0,CF,49.36
137988,Colton Snyder,SP,20.0,,,,31.31,36.31,,,,,22.0,37.25,36.55,0.0,0.0,0.0,0.3,0.0,N/A,False,,,,,,,,,,SP,24.91
138005,Halsten Woodcock,RP,21.0,,,,30.75,34.88,,,,,24.25,39.75,36.16,0.0,0.0,-3.0,0.9,-2.0,N/A,False,,,,,,,,,,RP,27.23
138010,Matt Lamie,SP,21.0,,,,30.98,35.12,,,,,24.5,38.5,27.65,0.0,0.0,-2.0,0.9,0.0,N/A,False,,,,,,,,,,SP,25.13
138021,Isaiah Horton,RP,21.0,,,,32.3,37.63,,,,,26.5,41.25,38.55,0.0,0.0,0.0,0.9,-2.0,N/A,False,,,,,,,,,,RP,29.51
138033,Ty Baldwin,SP,20.0,,,,36.43,49.86,,,,,30.75,46.75,51.15,0.48,0.0,2.0,0.3,0.0,N/A,False,,,,,,,,,,SP,34.83
138042,Charlie Gano,RF,21.0,,,,35.84,42.53,31.25,42.5,53.0,27.25,,,,0.0,0.0,1.5,0.9,0.0,N/A,False,,,,,,34.04,,34.19,31.25,RF,34.19
138067,Simão Woolbright,SP,21.0,,,,30.75,35.28,,,,,25.0,40.5,38.75,0.0,0.0,2.0,0.9,0.0,N/A,False,,,,,,,,,,SP,20.25
138076,John Reyes,SP,21.0,,,,30.74,37.79,,,,,21.75,42.5,36.5,0.0,0.0,0.0,0.9,0.0,N/A,False,,,,,,,,,,SP,22.2
138118,Gabe Janner,2B,21.0,,,,40.54,46.3,27.25,43.25,44.31,33.25,,,,0.0,0.0,0.5,0.9,0.0,N/A,False,,28.93,34.6,,,30.51,41.69,,27.25,CF,41.69
138121,Luke Hyman,LF,20.0,,,,33.09,40.98,29.0,46.25,43.5,46.75,,,,0.38,0.0,-3.0,0.3,0.0,N/A,False,,,,,,32.95,,,29.0,LF,32.95
138124,D.J. Valdez,2B,20.0,,,,38.7,61.29,32.75,58.75,46.25,44.0,,,,0.69,0.0,0.0,0.3,0.0,N/A,False,,34.64,39.5,39.95,,,,,32.75,3B,39.95
138130,Lawrence Webb,2B,21.0,,,,32.8,40.09,26.0,41.0,43.0,35.0,,,,0.0,0.0,0.0,0.9,0.0,N/A,False,,28.95,,,,28.25,,,26.0,1B,28.95
138132,Rasheed Roebuck,SP,20.0,,,,32.47,37.39,,,,,25.5,38.25,36.1,0.0,0.0,1.0,0.3,0.0,N/A,False,,,,,,,,,,SP,27.62
138133,Ervin Rosalez,SP,21.0,,,,30.21,33.21,,,,,27.25,39.75,43.72,0.0,0.0,-3.0,0.9,0.0,N/A,False,,,,,,,,,,SP,23.05
138143,Marc-Henri Lajoie,SP,20.0,,,,31.93,36.59,,,,,25.0,38.25,44.85,0.0,0.0,-2.0,0.3,0.0,N/A,False,,,,,,,,,,SP,28.97
138148,Ben Tice,C,21.0,,,,32.47,43.56,29.0,48.0,39.0,29.75,,,,0.44,0.0,-3.0,0.9,0.0,N/A,False,,,,,,,,30.58,29.0,RF,30.58
138159,Arnold Boothroyd,SP,21.0,,,,30.8,34.78,,,,,21.75,35.75,35.25,0.0,0.0,0.5,0.9,0.0,N/A,False,,,,,,,,,,SP,21.95
138160,Raymond Mills,RP,21.0,,,,33.8,38.92,,,,,29.75,41.5,44.75,0.0,0.0,0.0,0.9,-2.0,N/A,False,,,,,,,,,,RP,33.5
138170,Steven Scott,RP,21.0,,,,31.36,36.4,,,,,25.0,41.25,30.9,0.0,0.0,0.0,0.9,-2.0,N/A,False,,,,,,,,,,RP,26.48
138178,Oliver Walsh,SP,21.0,,,,33.98,39.57,,,,,29.0,40.5,43.53,0.0,0.0,0.0,0.9,0.0,N/A,False,,,,,,,,,,SP,31.91
138185,Zander Pearlman,CF,20.0,,,,41.96,48.69,26.75,42.75,57.33,36.25,,,,0.0,0.0,-3.0,0.3,0.0,N/A,False,,,,,,32.16,47.21,32.39,26.75,CF,47.21
138190,Jesse Grant,3B,21.0,,,,36.34,42.32,28.25,43.0,45.17,47.75,,,,0.0,0.0,-2.0,0.9,0.0,N/A,False,,,,38.56,,32.19,,32.71,28.25,3B,38.56
138200,Landen Barr,SP,21.0,,,,30.1,33.4,,,,,22.75,36.5,44.12,0.0,0.0,0.0,0.9,0.0,N/A,False,,,,,,,,,,SP,19.52
138201,Tony Terry,SP,21.0,,,,33.73,41.67,,,,,31.25,46.75,42.15,0.4,0.0,0.0,0.9,0.0,N/A,False,,,,,,,,,,SP,30.93
