Player Name,Team,Overall Pick,Projection Rank,Delta,Stamp Type,Points,VOS Stamp
Kevin Villar,Vancouver Cascades,1,2,-1,Managed Risk,1.6458797346140275,Y
Philip Lantz,California Angels,2,1,1,Top 100,3.8465735902799727,Y
Kinny Li,Washington Nationals,3,17,-14,Managed Risk,1.5338735539822874,Y
Rob Flores,New York Yankees,4,33,-29,Managed Risk,1.269860385419959,Y
Theo Paino,Houston Astros,5,4,1,Top 100,3.8465735902799727,Y
Maddux Renollet,Cincinnati Reds,6,22,-16,Managed Risk,1.5111306094308556,Y
Chris Dooley,Las Vegas Knights,7,9,-2,Managed Risk,1.6388370153723533,Y
Hunter Fuhrmann,Detroit Tigers,8,39,-31,Managed Risk,1.1979398673070136,Y
Ju-Hyeong Lee,San Diego Padres,9,26,-17,Managed Risk,1.4989330683884976,Y
Conner Casali,Boston Red Sox,10,76,-66,,0.0,N
E.J. Mann,Miami Marlins,11,45,-34,Managed Risk,1.0246530721670275,Y
Delaney Gay,Portland Hops,12,87,-75,,0.0,N
Franklin Del Valle,Philadelphia Phillies,13,21,-8,Managed Risk,1.5918239574966186,Y
Joel Howe,Tampa Bay Rays,14,44,-30,Managed Risk,1.2364775372638284,Y
Randolph Christiansen,Seattle Mariners,15,7,8,Top 100,4.59861228866811,Y
Nick Babel,Minnesota Twins,16,13,3,Top 100,4.193147180559945,Y
Benjamin Tineo,San Francisco Giants,17,41,-24,Managed Risk,1.391237339365384,Y
Benedict Ostrowski,Oakland Athletics,18,75,-57,,0.0,N
