Position Distribution
Position,Count,Percentage
1B,4,0.31%
2B,98,7.56%
3B,101,7.79%
C,90,6.94%
CF,152,11.73%
DH,23,1.77%
LF,54,4.17%
RF,63,4.86%
RP,235,18.13%
SP,453,34.95%
SS,23,1.77%

Position Strength
Position,Count,Mean,Median,Min,Max,P25,P75
1B,4,42.78,42.62,36.75,49.15,36.75,45.14
2B,98,50.19,49.11,38.10,68.43,43.98,55.54
3B,101,52.81,52.48,36.81,67.76,47.59,58.57
C,90,49.51,48.73,38.71,68.00,44.69,53.63
CF,152,55.89,55.97,43.79,68.19,52.09,59.80
DH,23,48.60,45.71,35.82,63.58,43.50,52.31
LF,54,47.19,44.58,36.35,67.05,40.98,51.15
RF,63,45.88,43.76,35.06,67.05,41.11,47.63
RP,235,41.48,38.92,31.36,64.89,36.58,43.05
SP,453,41.50,40.32,31.18,65.00,37.25,43.94
SS,23,58.12,57.97,48.80,62.33,56.56,61.13

Prospect Tiers
Tier,Count,Percentage,Threshold
Elite,61,4.71%,>= 62
Plus,228,17.59%,54-61
Average,178,13.73%,48-53
Org Depth,829,63.97%,< 48
