ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Prone,Acc,Ovr,Pot
375,"Juan Rivera",RP,100,120,120,1,23,189,R,L,40,35,30,25,40,40,40,35,30,25,40,40,40,40,30,25,40,40,45,40,30,25,45,45,30,30,55,20,35,25,40,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,35,20,20,70,20,60,45,40,55,45,60,45,40,55,45,65,45,40,55,45,70,45,40,55,45,98-100,55,45,70,85,0,0,0,0,0,50,0,0,0,0,0,85,0,0,0,0,0,65,0,0,0,0,0,N,H,N,N,N,Fragile,H,4,5
384,"Ramón García",CF,105,102,102,11,16,197,R,R,25,45,30,35,20,30,25,45,30,35,20,30,25,45,35,35,25,30,55,50,50,50,60,50,50,45,50,40,55,45,55,20,20,20,0,0,30,35,30,0,25,35,50,0,0,75,40,35,0,60,35,50,50,40,45,30,35,20,20,25,20,35,25,20,25,20,35,25,20,25,20,35,25,20,35,30,35,25,80-83,45,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,Normal,H,1,4
474,"Pedro Martínez",1B,102,34,7,3,22,185,L,L,40,60,55,50,40,45,40,60,55,55,40,45,40,55,50,50,40,45,50,60,60,55,45,60,50,35,30,25,45,35,20,20,20,20,0,0,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,30,35,30,45,35,35,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,83-85,46,20,25,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Normal,H,3,6
570,"José Lugo",SS,105,102,102,11,17,186,R,R,25,40,25,35,20,30,25,40,25,35,20,30,25,45,30,35,20,30,45,50,45,55,60,40,45,40,40,35,35,30,65,20,20,20,0,0,50,0,30,20,25,0,0,0,0,60,0,30,25,35,0,0,35,20,20,30,50,25,20,30,20,40,20,20,30,20,40,20,20,30,20,40,20,20,35,30,40,20,85-87,35,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,L,N,H,N,Normal,A,1,4
723,"Mike Morgan",2B,105,76,76,11,14,191,R,R,20,35,25,35,20,20,20,35,25,35,20,20,20,35,25,35,20,20,50,40,40,50,50,45,35,50,30,30,30,30,20,20,20,20,0,0,30,20,0,0,0,0,0,0,0,55,20,0,0,0,0,0,35,30,35,40,45,25,20,25,20,35,20,20,25,20,35,20,20,25,20,35,20,20,30,20,35,20,84-86,53,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,L,N,Normal,A,1,3
737,"Raúl Gutirérrez",2B,103,123,117,4,22,186,R,R,40,45,35,50,35,50,40,45,35,50,35,50,40,45,35,55,35,50,45,45,40,55,45,55,50,50,50,60,40,50,35,20,20,20,0,0,0,45,0,30,0,0,0,0,0,0,50,0,40,0,0,0,45,60,55,35,55,30,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,20,30,20,35,20,84-86,45,20,20,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N,Normal,A,3,3
739,"César Rodríguez",C,102,122,117,3,22,191,R,R,40,35,40,45,45,40,40,35,40,45,45,40,40,35,45,45,45,40,45,35,45,45,45,40,50,45,35,35,35,40,35,65,40,65,0,50,50,0,0,0,0,0,0,0,55,70,0,0,0,0,0,0,35,35,35,40,25,35,20,35,30,40,20,20,35,30,40,20,20,35,30,40,20,20,35,30,40,20,84-86,50,20,20,35,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,N,N,L,N,N,Normal,VH,2,3
742,"Ramón Solís",RP,102,34,7,3,23,183,L,L,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,40,30,30,30,40,40,30,40,50,20,45,35,25,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,30,25,25,40,35,20,40,35,20,45,40,40,35,20,45,40,40,35,20,45,40,45,35,25,45,45,95-97,37,40,85,50,0,0,40,0,40,0,0,0,0,0,0,60,0,0,50,0,40,0,0,0,0,0,0,H,N,H,N,N,Normal,A,2,3
747,"Ray Devenpeck",RP,104,87,87,10,18,185,S,R,25,35,20,30,20,30,25,35,20,30,20,30,25,35,20,30,20,30,45,40,30,35,45,45,35,30,55,35,30,25,35,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,25,20,20,75,25,40,35,20,45,30,40,35,20,50,30,40,35,20,45,30,60,45,40,45,45,92-94,40,30,70,45,0,0,0,40,0,0,0,0,0,0,0,60,0,0,0,60,0,0,0,0,0,0,0,N,N,N,N,N,Normal,VH,2,3
751,"Miguel Santos",RP,103,48,4,4,22,201,R,R,30,35,30,30,35,30,30,35,30,25,35,30,30,35,30,30,35,30,35,35,30,30,35,30,30,30,50,20,20,35,35,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,30,20,20,65,25,45,40,35,50,35,45,40,35,50,35,45,40,35,50,35,50,40,35,50,35,96-98,55,55,40,0,0,55,35,0,45,0,0,0,0,0,0,0,0,55,55,0,50,0,0,0,0,0,0,N,H,N,N,H,Normal,VH,3,3
