ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Prone,Acc,Ovr,Pot
14531,"Jerry Stevenson",1B,106,184,184,1,35,187,L,L,55,55,50,50,60,50,55,55,50,50,60,50,50,50,45,45,55,45,55,55,50,50,60,50,20,25,40,20,25,30,45,20,20,20,0,0,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,30,30,35,30,30,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,80-83,37,20,25,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,H,H,L,N,N,Fragile,VH,5,5
14565,"Wilbur Meyer",SP,106,187,187,1,34,187,R,R,35,30,25,20,30,40,35,30,20,20,30,35,35,35,25,20,30,40,35,30,25,20,30,40,30,35,50,45,25,25,30,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,20,20,20,20,55,25,50,60,60,55,55,50,60,60,55,55,50,60,60,55,55,50,60,60,55,55,93-95,62,55,65,60,0,75,0,0,35,0,0,0,0,0,0,60,0,75,0,0,35,0,0,0,0,0,0,L,L,H,L,L,Normal,VH,7,7
14753,"Eduardo Blanco",2B,0,0,0,0,25,185,R,R,45,40,40,45,55,35,45,40,40,45,55,35,45,40,40,45,55,35,45,40,40,50,55,35,45,35,55,60,40,60,45,20,20,20,0,0,0,35,35,0,0,0,0,0,0,0,45,35,0,0,0,0,40,40,40,50,45,25,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,25,30,20,80-83,43,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,L,H,N,Durable,VH,3,3
14761,"Edwin Cooley",RP,106,200,200,1,35,186,R,R,35,25,20,30,35,35,35,25,20,30,35,35,35,25,20,30,35,35,35,25,20,30,35,35,30,25,45,25,20,35,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,20,20,25,60,20,45,50,55,45,55,45,55,60,45,55,40,45,50,45,50,45,50,55,45,55,91-93,61,45,30,50,0,0,0,45,0,0,0,0,0,0,0,50,0,0,0,45,0,0,0,0,0,0,0,N,N,N,H,H,Normal,VH,5,5
14937,"Lee Leach",2B,0,0,0,0,31,188,L,R,50,50,40,50,50,50,50,50,45,50,55,50,50,45,40,45,50,50,50,50,40,50,50,50,50,65,50,55,40,40,40,20,20,20,0,0,70,50,50,40,0,0,0,0,0,70,50,50,40,0,0,0,50,40,50,60,30,40,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,84-86,41,20,20,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,N,N,N,Durable,VH,4,4
14968,"Travis Noble",3B,115,512,507,5,34,186,L,R,45,45,45,50,40,50,45,45,45,55,40,50,45,40,40,45,35,50,45,45,45,50,40,50,40,45,60,35,25,50,55,20,30,20,0,0,60,0,40,0,0,0,0,0,0,60,0,40,0,0,0,0,40,35,35,50,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,83-85,59,20,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,N,N,H,N,N,Iron Man,VH,4,4
15033,"Sam Lovell",SP,0,0,0,0,34,192,S,R,20,35,20,20,20,20,20,35,20,20,20,20,20,30,20,20,20,20,20,35,20,20,20,20,30,30,40,35,30,25,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,20,20,20,50,20,45,50,50,50,50,45,55,55,50,50,45,50,50,50,50,45,50,50,50,50,92-94,51,50,80,50,0,0,35,55,0,0,0,0,0,0,0,50,0,0,35,55,0,0,0,0,0,0,0,L,N,N,N,N,Normal,VH,5,5
15039,"Jason Wardlow",C,0,0,0,0,36,196,L,R,45,50,45,35,50,45,50,50,50,35,50,45,45,45,45,30,45,45,45,50,45,35,50,45,25,30,25,25,25,40,25,70,40,70,0,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,25,25,20,35,40,25,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,80-83,48,20,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,N,N,H,N,N,Durable,VH,5,5
15071,"Christian Wilkins",SP,106,190,190,1,29,184,R,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,25,30,20,20,20,20,20,25,20,20,35,20,80,45,60,30,45,20,20,25,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,30,20,55,20,55,55,55,55,70,60,60,60,60,75,55,50,50,55,70,55,55,55,55,75,96-98,53,50,35,0,0,65,80,75,45,75,0,0,0,70,0,0,0,65,80,75,45,75,0,0,0,75,0,N,N,H,N,N,Fragile,VH,8,8
15111,"Arturo Canó",RP,106,184,184,1,32,182,S,R,40,40,20,25,35,40,40,35,20,25,35,40,40,40,20,25,35,40,40,40,20,25,35,40,30,40,50,35,40,35,20,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,30,20,40,55,25,50,45,45,50,45,55,45,45,50,50,50,45,40,45,45,50,45,45,50,45,94-96,47,25,50,0,0,65,0,65,0,0,0,0,0,0,0,0,0,65,0,65,0,0,0,0,0,0,0,N,L,L,L,N,Iron Man,VH,4,4
15160,"Sal Nesta",2B,113,376,192,3,26,187,R,R,45,40,35,45,50,40,45,40,35,45,50,40,45,40,35,45,50,40,45,45,35,50,50,40,60,60,55,60,20,45,65,20,20,20,0,0,0,60,0,50,0,0,0,0,0,0,60,0,50,0,0,0,55,50,65,60,50,45,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,85-87,51,20,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,N,L,H,L,N,Normal,VH,4,4
