ID,Name,Pos,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Signability,Demand,Prone,Acc,Ovr,Pot
87827,"Matt Aase",RP,22,187,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,30,20,35,35,35,30,25,60,25,40,40,50,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,20,35,35,30,35,30,25,45,20,35,30,25,45,20,35,30,25,45,20,45,45,45,45,20,94-96,49,25,50,45,0,0,25,0,0,0,0,0,0,0,0,55,0,0,55,0,0,0,0,0,0,0,0,N,L,N,N,N,VE,0,Normal,VH,25,30
94675,"Tom Achbar",RP,17,198,L,L,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,20,45,30,35,25,25,40,25,45,35,45,25,25,25,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,25,25,20,30,60,20,20,20,20,40,20,20,20,20,40,20,20,20,20,40,20,45,35,30,45,20,89-91,44,30,60,30,0,0,0,0,20,0,0,0,0,0,0,45,0,0,0,0,50,0,0,0,0,0,0,N,L,N,N,N,H,0,Normal,H,20,25
91069,"Ray Acosta",RP,20,192,L,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,20,20,20,20,30,30,40,25,20,35,30,35,20,35,25,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,30,25,20,25,75,20,40,20,20,45,20,40,20,20,50,20,35,20,20,40,20,55,30,20,45,30,93-95,39,35,60,45,0,0,0,40,0,0,0,0,0,0,0,60,0,0,0,70,0,0,0,0,0,0,0,L,N,N,N,N,N,0,Normal,VH,20,30
94677,"Steve Acosta",C,18,195,R,R,25,25,30,25,25,25,25,25,25,25,25,25,25,25,30,25,25,25,50,45,55,50,50,50,35,30,40,25,35,40,50,50,50,60,0,30,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,30,25,30,20,30,25,20,20,20,25,20,20,20,20,25,20,20,20,20,25,20,20,30,30,25,25,83-85,57,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,H,L,N,EH,0,Normal,H,25,45
94688,"Alberto Acuna",SP,18,187,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,25,30,45,20,40,30,35,50,20,45,40,50,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,30,25,20,30,60,20,30,25,20,45,20,30,25,20,45,20,25,25,20,45,20,55,45,45,45,45,90-92,48,60,55,35,20,0,0,0,20,0,0,0,0,0,0,55,45,0,0,0,60,0,0,0,0,0,0,N,H,N,L,H,EH,550000,Normal,H,20,45
94218,"Jim Adams",SP,21,188,R,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,20,25,40,25,25,25,30,40,25,20,35,40,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,20,20,20,70,25,35,35,35,45,35,40,40,35,50,35,35,35,30,45,35,40,45,40,45,40,91-93,54,45,50,40,30,35,0,35,30,0,0,0,0,0,0,40,40,40,0,40,35,0,0,0,0,0,0,N,N,H,H,N,VE,0,Normal,VH,30,35
94752,"Nick Adler",SP,17,195,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,25,30,20,30,25,30,40,20,25,40,30,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,30,25,20,20,65,25,20,30,25,40,20,20,30,25,40,20,20,30,25,40,20,35,45,50,45,40,89-91,54,50,60,0,0,25,0,25,20,20,0,0,0,0,0,0,0,40,0,30,45,40,0,0,0,0,0,N,N,N,H,N,EH,0,Normal,H,20,40
94555,"Nick Aguayo",RP,18,195,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,30,30,30,20,30,30,25,45,25,45,45,50,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,20,25,45,20,20,25,20,45,20,20,25,20,45,20,20,25,20,45,20,50,45,45,50,45,93-95,42,30,35,40,0,0,0,0,0,20,0,0,0,0,0,70,0,0,0,0,0,55,0,0,0,0,0,H,N,N,N,N,EH,0,Normal,H,20,40
94548,"Rick Ahlers",RP,18,192,R,R,20,20,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,40,25,25,30,30,50,30,20,45,25,45,35,50,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,20,20,70,25,30,20,20,45,20,30,20,20,45,20,30,20,20,45,20,55,45,45,45,35,94-96,47,25,50,0,0,35,0,0,25,0,0,0,0,0,0,0,0,80,0,0,45,0,0,0,0,0,0,N,N,N,N,N,H,0,Normal,H,20,35
89539,"Rob Ainslie",RP,20,194,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,35,25,30,25,25,40,25,30,30,40,20,20,20,30,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,25,25,30,20,55,25,25,35,30,40,20,25,35,30,40,20,25,35,30,40,20,35,45,45,40,30,91-93,50,30,40,35,0,0,25,0,0,0,0,0,0,0,0,40,0,0,35,0,0,0,0,0,0,0,0,N,N,N,H,N,E,0,Normal,H,25,30
