ID,Name,Pos,Age,Height,Bats,Throws,Cntct,Gap,Pow,Eye,Ks,BABIP,Cntct_R,Gap_R,Pow_R,Eye_R,Ks_R,BABIP_R,Cntct_L,Gap_L,Pow_L,Eye_L,Ks_L,BABIP_L,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,Stf,Mov,HRA,PBABIP,Ctrl_R,Stf_R,Mov_R,HRA_R,PBABIP_R,Ctrl_L,Stf_L,Mov_L,HRA_L,PBABIP_L,Ctrl_L,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,Fst,Snk,Cutt,Crv,Sld,Chg,Splt,Frk,CirChg,Scr,Kncrv,Knbl,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Signability,Demand,Prone,Acc,Ovr,Pot
142809,"Heliodoro Abaja",SP,17,186,L,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,25,25,25,30,35,30,45,25,45,45,50,20,25,25,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,25,25,20,20,65,20,30,30,20,45,20,30,30,20,45,20,25,25,20,45,20,50,45,45,45,40,92-94,53,55,65,35,0,0,20,35,20,0,0,0,0,0,0,55,0,0,60,60,50,0,0,0,0,0,0,N,N,N,N,N,H,0,Durable,VH,20,45
142903,"Norman Abaya",CL,22,193,R,R,20,20,20,25,20,20,20,20,20,25,20,20,20,20,20,25,20,20,25,25,35,30,25,20,30,35,45,25,40,45,45,20,20,20,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,20,20,20,30,50,25,45,45,45,50,35,45,45,45,50,35,45,45,45,50,35,60,55,55,50,50,95-97,61,30,50,55,0,0,0,0,50,0,0,0,0,0,0,70,0,0,0,0,60,0,0,0,0,0,0,N,L,N,L,L,N,0,Normal,VH,35,55
143907,"Maitland Abney",LF,18,194,L,R,30,30,25,30,30,30,30,30,25,30,30,30,25,25,20,30,30,30,45,45,45,45,45,45,30,25,45,30,45,45,60,20,20,20,0,0,0,0,0,0,30,0,25,0,0,0,0,0,0,45,0,45,35,25,30,25,50,20,20,20,20,30,20,20,20,20,30,20,20,20,20,30,20,20,30,30,30,25,86-88,39,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,H,N,N,EH,0,Normal,VH,25,35
142012,"Erik Acevedo",RF,17,186,R,R,25,25,25,20,25,25,25,25,25,20,25,25,25,25,25,20,25,25,50,45,45,45,50,50,25,20,30,20,55,45,55,20,20,20,0,0,0,0,0,0,20,0,35,0,0,0,0,0,0,60,0,55,50,35,30,25,30,25,20,20,20,35,20,20,20,20,30,20,20,20,20,35,20,20,30,30,35,25,87-89,41,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,H,EH,0,Normal,VH,25,40
142772,"Budd Achor",SP,21,185,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,25,30,40,40,20,35,45,40,25,25,25,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,40,35,25,20,75,25,35,35,30,45,30,35,35,30,45,30,35,35,30,45,30,45,45,45,45,40,90-92,42,60,60,35,0,0,35,35,25,30,0,0,35,0,0,45,0,0,45,45,45,35,0,0,45,0,0,N,N,N,N,L,N,0,Normal,VH,30,35
142776,"Cam Adams",SS,21,183,R,R,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,40,40,45,45,45,35,65,60,35,35,40,55,55,20,20,20,0,0,0,35,25,40,0,0,0,0,0,0,55,40,45,0,0,0,55,50,55,45,40,20,20,25,25,20,20,20,25,25,25,20,20,25,25,20,20,20,30,35,20,25,84-86,55,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,E,0,Normal,VH,30,35
143008,"Carvel Adams",RP,22,192,R,R,25,20,20,25,20,30,25,20,20,25,20,30,25,20,20,25,20,30,30,25,25,35,20,30,30,25,40,20,45,40,45,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,25,25,20,30,25,30,35,20,20,40,20,35,20,20,35,20,35,20,20,40,20,40,25,20,40,20,88-90,42,35,65,35,0,35,0,0,25,0,0,0,0,0,0,35,0,40,0,0,30,0,0,0,0,0,0,N,L,H,N,N,H,0,Normal,VH,20,20
141104,"Gabe Adams",SP,19,188,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,20,20,20,30,25,25,20,30,30,45,20,50,50,55,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,25,20,40,65,20,25,30,25,35,20,25,30,25,40,20,25,25,25,35,20,35,45,45,35,30,88-90,49,60,30,30,25,0,0,0,20,0,0,0,0,0,0,40,35,0,0,0,40,0,0,0,0,0,0,N,N,N,N,N,N,0,Normal,VH,20,35
142900,"Aidan Adler",SP,22,192,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,20,25,30,25,20,30,25,55,30,50,50,50,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,25,20,25,35,30,30,35,30,45,40,30,35,30,50,40,30,35,30,45,40,40,45,45,45,50,91-93,43,50,30,35,0,0,35,35,25,0,0,0,0,0,0,45,0,0,45,45,45,0,0,0,0,0,0,L,N,N,N,L,H,0,Normal,VH,30,40
141889,"Micah Adler",SP,18,195,R,R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,25,20,25,30,25,45,20,45,35,45,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,20,20,35,75,30,25,30,25,45,25,25,30,20,40,25,25,30,25,45,25,40,50,50,45,50,88-90,52,55,45,25,0,30,0,0,20,0,0,0,0,0,0,40,0,45,0,0,50,0,0,0,0,0,0,N,N,N,N,N,EH,0,Normal,VH,20,45
142925,"Joel Agosto",C,17,178,R,R,25,25,25,20,25,25,25,25,25,20,25,25,25,25,25,25,25,25,45,45,50,45,50,45,25,30,40,20,45,45,40,55,50,50,0,30,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,25,25,20,20,50,20,20,20,20,20,20,20,20,20,25,20,20,20,20,20,20,20,30,30,20,25,89-91,55,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,EH,0,Fragile,VH,20,40
