ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
27352,Camiel van Aert,SP,37.0,,,,41.71,41.62,,,,,45.38,36.9,0.08,0.0,0.5,SAHL Ballpark,True,,,,,,,,,,SP,43.69
27360,Seung-woo Park,SP,37.0,,,,45.28,44.93,,,,,47.13,43.73,0.25,0.0,0.5,SAHL Ballpark,True,,,,,,,,,,SP,46.45
27401,Chin-yau Sen,RP,37.0,Ft. Worth Green Wave,Ft. Worth Green Wave,IND,43.26,42.14,,,,,45.86,34.95,0.98,0.0,1.0,SAHL Ballpark,True,,,,,,,,,,SP,43.68
27406,Yong-su Kim,1B,37.0,SSG Landers,SSG Landers,INT,63.06,61.69,57.57,57.57,53.33,42.15,,,2.0,0.0,2.0,SAHL Ballpark,True,,56.74,52.47,,,,,,57.57,DH,57.57
27408,Tony Raigosa,1B,38.0,Ft. Worth Green Wave,Ft. Worth Green Wave,IND,60.67,59.8,55.26,55.26,50.78,22.72,,,1.0,0.0,2.0,SAHL Ballpark,True,48.03,53.11,48.02,55.28,,50.83,,51.92,55.26,3B,55.28
27468,Salvador Guerrero,RP,37.0,Ft. Wayne Fighters,Ft. Wayne Fighters,IND,36.12,36.12,,,,,40.42,33.7,0.0,0.0,-2.0,SAHL Ballpark,True,,,,,,,,,,SP,39.08
27511,Junjiro Tsuruta,RP,37.0,Tohoku Rakutten Golden Eagles,Tohoku Rakutten Golden Eagles,INT,38.9,38.83,,,,,45.38,41.5,0.08,0.0,-1.0,SAHL Ballpark,True,,,,,,,,,,SP,42.11
27548,Taka Kosaka,SP,38.0,Tokyo Yakultt Swallows,Tokyo Yakultt Swallows,INT,38.83,38.83,,,,,41.68,38.8,0.0,0.0,0.0,SAHL Ballpark,True,,,,,,,,,,SP,41.11
27622,Yuuki Yamada,3B,37.0,,,,55.11,53.66,47.5,47.5,55.08,51.28,,,1.0,0.0,-3.0,SAHL Ballpark,True,,48.14,49.97,55.08,,,,48.59,47.5,3B,55.08
27669,Kyung-woon Park,RP,36.0,Doosan Bears,Doosan Bears,INT,37.49,37.49,,,,,38.21,33.48,0.0,0.0,2.0,SAHL Ballpark,True,,,,,,,,,,SP,37.26
27696,Jin-hyun Kim,SP,37.0,Doosan Bears,Doosan Bears,INT,53.32,50.27,,,,,48.33,47.38,1.73,0.0,2.0,SAHL Ballpark,True,,,,,,,,,,SP,48.14
27698,Jung-tae Kim,RF,36.0,,,,58.02,56.89,51.47,51.47,46.17,38.36,,,1.0,0.0,3.0,SAHL Ballpark,True,,,,,,49.22,,49.51,51.47,DH,51.47
27709,Su-chang Man,2B,37.0,Doosan Bears,Doosan Bears,INT,59.09,58.07,52.23,52.23,53.02,40.38,,,1.0,0.0,2.0,SAHL Ballpark,True,,51.91,52.35,53.52,53.22,50.5,,50.28,52.23,3B,53.52
27713,Hyun-Woo Lee,3B,36.0,,,,56.98,55.74,46.54,46.54,50.41,33.78,,,1.0,0.0,5.0,SAHL Ballpark,True,,46.04,45.65,48.55,,,,46.35,46.54,3B,48.55
27802,Toshi Higashi,LF,35.0,Fukuooka SoftBank Hawks,Fukuooka SoftBank Hawks,INT,57.97,56.84,47.49,47.49,51.08,69.82,,,1.0,0.0,0.0,SAHL Ballpark,True,,47.86,48.89,,,50.96,54.43,51.23,47.49,CF,54.43
27834,Sumitomo Ishii,SS,35.0,Gifu Spiders,Orrix Buffaloes,AAA,42.75,42.75,39.66,39.66,48.23,49.35,,,0.0,-3.0,3.0,SAHL Ballpark,True,,41.28,44.45,45.22,,,,41.1,39.66,3B,45.22
27838,Daiyu Shibuya,C,35.0,Yomiurri Giants,Yomiurri Giants,INT,60.87,60.87,40.61,40.61,50.8,24.95,,,0.0,0.0,2.5,SAHL Ballpark,True,56.02,,,,,,,38.63,40.61,C,56.02
27861,Atori Kawano,RF,36.0,Fukuooka SoftBank Hawks,Fukuooka SoftBank Hawks,INT,39.22,38.43,45.58,45.58,47.18,25.65,,,1.0,0.0,-5.0,SAHL Ballpark,True,,,40.82,43.85,,43.98,,45.33,45.58,DH,45.58
27885,Ichiro Yamada,RF,40.0,Hokkaido Nipon-Ham Fighters,Hokkaido Nipon-Ham Fighters,INT,53.63,51.99,45.74,45.74,54.92,48.35,,,1.0,0.0,3.5,SAHL Ballpark,True,,,,,,47.2,,47.57,45.74,RF,47.57
27928,Yoshi Kato,SP,38.0,Hanshinn Tigers,Hanshinn Tigers,INT,38.98,38.98,,,,,43.16,38.77,0.0,0.0,-1.0,SAHL Ballpark,True,,,,,,,,,,SP,42.29
28005,Aaron Haun,1B,35.0,Southern Maryland Blue Crabs,Southern Maryland Blue Crabs,IND,45.72,44.33,49.01,49.01,49.17,24.38,,,1.0,0.0,-2.5,SAHL Ballpark,True,,,,,,46.35,,46.79,49.01,DH,49.01
28021,Corey Juarez,C,36.0,,,,54.7,54.7,41.03,41.03,56.75,36.09,,,0.0,0.0,1.0,SAHL Ballpark,True,51.79,,,,,,,,41.03,C,51.79
28050,Bill Bowman,SP,36.0,SSG Landers,SSG Landers,INT,39.66,39.66,,,,,41.42,42.35,0.0,0.0,0.5,SAHL Ballpark,True,,,,,,,,,,SP,41.61
28095,Eric Thorne,1B,35.0,Indianapolis Fire,Indianapolis Fire,IND,46.2,44.76,47.33,47.33,33.75,29.01,,,1.0,0.0,-0.5,SAHL Ballpark,True,,,,,,43.46,,,47.33,DH,47.33
28135,Justin Melonas,3B,35.0,,,,55.93,54.57,48.32,48.32,55.17,52.74,,,1.0,0.0,0.5,SAHL Ballpark,True,,50.11,51.73,52.19,,,,48.32,48.32,3B,52.19
28136,Bryan Boston,RF,36.0,,,,50.97,49.04,46.5,46.5,48.85,38.27,,,1.0,0.0,3.0,SAHL Ballpark,True,,,,,,45.6,,46.46,46.5,DH,46.5
28174,Mike Wilson,LF,36.0,High Point Rockers,High Point Rockers,IND,51.42,49.5,45.28,45.28,45.04,51.14,,,1.0,0.0,3.0,SAHL Ballpark,True,,44.95,44.24,,,46.33,,46.75,45.28,RF,46.75
28229,Mike Herendeen,SP,35.0,Quebec Capitales,Quebec Capitales,IND,43.49,42.26,,,,,46.6,37.5,1.06,0.0,0.0,SAHL Ballpark,True,,,,,,,,,,SP,44.78
28245,Pedro Munoz,RF,36.0,Ft. Worth Green Wave,Ft. Worth Green Wave,IND,56.12,54.78,48.93,48.93,54.92,62.17,,,1.0,0.0,1.5,SAHL Ballpark,True,,,,,,50.97,,51.34,48.93,RF,51.34
28257,David Hendrickson,SP,36.0,Evansville Otters,Evansville Otters,IND,43.89,42.62,,,,,46.38,40.0,1.06,0.0,0.0,SAHL Ballpark,True,,,,,,,,,,SP,45.1
28260,Mike Wayer,1B,35.0,Nagasaki Zebras,Hanshinn Tigers,AAA,50.12,48.23,48.52,48.52,51.6,61.2,,,1.0,-3.0,1.5,SAHL Ballpark,True,,,,,,49.93,,50.56,48.52,RF,50.56
28266,Dustin Mountain,2B,35.0,Montreal Expos,Montreal Expos,ML,52.99,51.26,48.74,48.74,53.85,33.1,,,1.0,-3.0,0.0,SAHL Ballpark,True,,48.78,51.06,53.66,52.64,45.98,,47.17,48.74,3B,53.66
28276,Rusty Gaffke,SP,36.0,,,,41.6,40.55,,,,,46.38,40.0,1.06,0.0,-2.0,SAHL Ballpark,True,,,,,,,,,,SP,45.1
28295,Andrew Kenney,SS,35.0,Indianapolis Fire,Indianapolis Fire,IND,55.85,55.85,41.71,41.71,58.72,58.25,,,0.0,0.0,2.0,SAHL Ballpark,True,,44.87,51.21,51.63,,,,44.43,41.71,3B,51.63
28300,Jim Sabo,2B,36.0,,,,54.92,53.44,49.23,49.23,52.58,39.79,,,1.0,0.0,-0.5,SAHL Ballpark,True,,49.44,50.95,52.44,,,,47.17,49.23,3B,52.44
28301,Derek Doan,2B,36.0,Izumi Lookouts,Tokyo Yakultt Swallows,AAA,49.55,47.73,49.23,49.23,52.7,46.42,,,1.0,-3.0,2.0,SAHL Ballpark,True,,49.77,49.03,,,,,,49.23,1B,49.77
28326,Austin Leonard,3B,36.0,,,,60.96,60.12,46.08,46.08,55.1,41.13,,,1.0,0.0,4.0,SAHL Ballpark,True,,47.43,51.13,53.64,,45.2,,45.91,46.08,3B,53.64
28337,Adam Briskin,SP,36.0,High Point Rockers,High Point Rockers,IND,40.2,39.33,,,,,44.64,45.05,1.0,0.0,2.0,SAHL Ballpark,True,,,,,,,,,,SP,39.72
28385,Mike Vaquera,3B,36.0,Long Island Ducks,Long Island Ducks,IND,55.96,54.6,45.44,45.44,58.95,47.63,,,1.0,0.0,-2.5,SAHL Ballpark,True,,47.4,50.81,55.22,,46.23,,47.49,45.44,3B,55.22
28402,Mike Simon,SP,36.0,Long Island Ducks,Long Island Ducks,IND,52.19,49.02,,,,,50.55,45.3,1.69,0.0,0.0,SAHL Ballpark,True,,,,,,,,,,SP,49.5
