ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,Batting_Score,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
109154,Benton Kiser,3B,38.0,,,,56.49,56.64,51.03,22.73,,,1.0,0.0,-3.5,Las Vegas Knights Ballpark,True,,54.88,48.54,54.04,,,,51.85,56.64,DH,56.64
109287,Jacoby Young,SP,37.0,,,,43.95,,,,51.54,37.0,1.08,0.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,48.63
110383,Ronald Williams,2B,38.0,,,,47.69,46.36,56.89,24.53,,,1.0,0.0,-3.5,Las Vegas Knights Ballpark,True,,46.73,47.14,51.25,,45.36,,45.71,46.36,3B,51.25
113585,Benjamin Berret,CF,34.0,Columbus Clippers,Cleveland Indians,AAA,55.83,54.36,62.37,51.14,,,1.0,-3.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,55.17,59.12,55.37,54.36,CF,59.12
113744,Roldan Donzelli,SP,35.0,Louisville Bats,Cincinnati Reds,AAA,34.99,,,,44.44,42.1,0.0,-3.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,41.47
113891,Calisto Montez,SP,36.0,Birmingham Barons,San Francisco Giants,AAA,34.54,,,,48.49,41.13,1.04,-3.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,39.52
114447,Colten Anderson,1B,34.0,,,,42.11,47.15,0.0,24.05,,,1.0,0.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,,,,47.15,DH,47.15
114647,Marc Gagnon,SP,35.0,Wilkes-Barre Barons,Philadelphia Phillies,AAA,39.7,,,,48.0,45.97,1.06,-3.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,47.6
114808,Jaiden Giroux,SS,34.0,Pawtucket Red Sox,Boston Red Sox,AAA,55.83,38.65,65.12,63.27,,,0.0,-3.0,-3.5,Las Vegas Knights Ballpark,True,,43.61,55.9,52.05,60.12,42.91,,43.79,38.65,SS,60.12
114810,Quinn Baker,SP,34.0,,,,37.58,,,,49.49,48.95,1.02,0.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,41.88
114985,Simon Lewis,1B,34.0,,,,41.98,47.02,37.0,20.98,,,1.0,0.0,-3.5,Las Vegas Knights Ballpark,True,,44.72,,,,,,,47.02,DH,47.02
115064,Howard Headen,1B,35.0,Durham Bulls,Tampa Bay Rays,AAA,43.59,51.42,35.02,59.5,,,1.0,-3.0,-3.5,Las Vegas Knights Ballpark,True,,50.29,,,,49.63,,,51.42,DH,51.42
115070,Eddie Perlman,1B,33.0,Chicago White Sox,Chicago White Sox,ML,49.97,52.89,51.28,68.37,,,1.0,-3.0,-3.5,Las Vegas Knights Ballpark,True,,53.87,55.49,54.69,,52.96,,53.7,52.89,2B,55.49
115072,Angelo Meijer,CF,34.0,Victoria HarbourCats,Milwaukee Brewers,AAA,45.5,44.69,57.27,70.67,,,0.0,-3.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,49.11,53.85,49.31,44.69,CF,53.85
115097,Kameron Redden,SP,33.0,,,,38.26,,,,44.44,41.53,0.0,0.0,-3.5,Las Vegas Knights Ballpark,True,,,,,,,,,,SP,43.86
