ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
113744,Roldan Donzelli,SP,36.0,,,,38.84,38.84,,,,,44.0,42.1,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,41.12
114808,Jaiden Giroux,SS,34.0,Pawtucket Red Sox,Boston Red Sox,AAA,59.68,59.68,38.25,38.25,63.21,61.75,,,0.0,-3.0,2.0,N/A,False,,43.2,54.55,51.01,58.15,42.21,,42.89,38.25,SS,58.15
115072,Angelo Meijer,CF,34.0,Victoria HarbourCats,Milwaukee Brewers,AAA,48.37,48.37,44.25,44.25,56.17,69.0,,,0.0,-3.0,-0.5,N/A,False,,,,,,48.45,52.64,48.71,44.25,CF,52.64
116048,Murray Smearman,SP,34.0,,,,45.33,43.9,,,,,46.75,43.85,1.06,0.0,0.0,N/A,False,,,,,,,,,,SP,46.17
116066,Adam Conwell,SP,33.0,,,,43.16,42.03,,,,,45.0,45.35,1.0,0.0,-0.5,N/A,False,,,,,,,,,,SP,45.07
116086,Elton Briggs,LF,33.0,Chicago White Sox,Chicago White Sox,ML,55.36,55.36,43.75,43.75,58.67,75.0,,,0.0,-3.0,2.5,N/A,False,,,,,,49.05,53.76,49.46,43.75,CF,53.76
116092,Brady Mercado,CF,33.0,Sacramento River Cats,Fresno Falcons,AAA,59.06,59.06,40.75,40.75,60.5,67.75,,,0.0,-3.0,0.0,N/A,False,,42.02,,,,47.31,59.49,47.54,40.75,CF,59.49
116121,U.N. Krohn,SP,33.0,,,,47.1,45.71,,,,,45.5,48.0,0.9,0.0,1.5,N/A,False,,,,,,,,,,SP,46.0
116134,Rick Benfer,SP,33.0,Toledo Mud Hens,Detroit Tigers,AAA,42.81,41.65,,,,,46.75,46.55,1.06,-3.0,0.5,N/A,False,,,,,,,,,,SP,46.71
116240,Mason Bakman,C,33.0,,,,51.92,50.05,45.0,45.0,46.62,20.0,,,1.0,0.0,-3.0,N/A,False,53.02,,,,,,,41.0,45.0,C,53.02
116296,Jon Serrano,SP,33.0,,,,39.54,39.54,,,,,44.0,36.38,0.0,0.0,-0.5,N/A,False,,,,,,,,,,SP,42.48
116297,Maxwell Darbouze,SP,34.0,,,,41.18,40.21,,,,,49.0,42.68,1.02,0.0,0.0,N/A,False,,,,,,,,,,SP,42.74
116401,Vince Graham,SP,33.0,Evansville Triplets,Chicago White Sox,AAA,46.81,45.15,,,,,50.25,44.55,1.1,-3.0,1.0,N/A,False,,,,,,,,,,SP,49.11
116664,Jayant Eversman,2B,35.0,Albuquerque Isotopes,Colorado Rockies,AAA,63.43,62.79,47.0,47.0,64.25,72.0,,,1.0,-3.0,-0.5,N/A,False,,51.05,61.2,56.13,64.65,49.84,,50.18,47.0,SS,64.65
116708,Dylan Ratcliff,RP,37.0,,,,54.0,52.48,,,,,50.25,46.65,0.96,0.0,2.0,N/A,False,,,,,,,,,,RP,49.35
116909,Lawrence McIver,SS,34.0,,,,66.24,65.8,45.0,45.0,67.95,65.0,,,1.0,0.0,3.5,N/A,False,,48.2,58.81,58.6,63.2,,,48.73,45.0,SS,63.2
116943,Paul Cooper,SP,35.0,Baltimore Orioles,Baltimore Orioles,ML,50.48,48.41,,,,,50.75,50.3,1.08,-3.0,1.5,N/A,False,,,,,,,,,,SP,50.66
116966,Jayson Davis,3B,34.0,Louisville Bats,Cincinnati Reds,AAA,46.61,45.12,45.0,45.0,56.25,53.75,,,1.0,-3.0,-3.0,N/A,False,,47.44,53.08,53.09,,45.99,,46.25,45.0,3B,53.09
117023,Hadji Koulibaly,SP,35.0,Louisville Bats,Cincinnati Reds,AAA,44.62,43.37,,,,,46.25,43.73,0.98,-3.0,3.0,N/A,False,,,,,,,,,,SP,45.75
117103,Jake Ellis,2B,34.0,,,,58.76,57.71,50.5,50.5,51.3,54.75,,,1.0,0.0,1.0,N/A,False,,51.56,54.19,53.19,,49.31,,49.95,50.5,2B,54.19
117110,Curt Peterson,SP,34.0,Colorado Rockies,Colorado Rockies,ML,39.74,38.88,,,,,48.0,38.8,1.04,-3.0,-2.0,N/A,False,,,,,,,,,,SP,46.16
117112,Ray Mallory,SS,35.0,,,,64.47,63.91,48.5,48.5,66.5,59.75,,,1.0,0.0,1.5,N/A,False,,51.91,58.51,58.51,61.47,,,49.77,48.5,SS,61.47
