ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
375,Juan Rivera,RP,23.0,Washington Patriots,Washington Patriots,ML,51.7,52.59,,,,,47.5,49.08,1.08,2.5,2.0,N/A,False,,,,,,,,,,SP,45.31
384,Ramón García,CF,16.0,Des Moines HS Golden Knights,Des Moines HS Golden Knights,HS,47.07,56.92,32.25,52.5,49.58,41.5,,,0.5,0.0,2.0,N/A,False,,34.09,39.14,40.25,,36.06,45.88,36.29,32.25,CF,45.88
474,Pedro Martínez,1B,22.0,Sacramento Falcons,Antelope Valley Raptors,AA,57.14,60.0,50.5,54.5,37.75,35.5,,,1.19,3.0,0.0,N/A,False,,,,,,47.09,,,50.5,DH,50.5
570,José Lugo,SS,17.0,Des Moines HS Golden Knights,Des Moines HS Golden Knights,HS,33.28,51.43,30.25,53.25,44.5,29.5,,,0.62,0.0,-2.5,N/A,False,,31.19,,,,,,32.99,30.25,RF,32.99
723,Mike Morgan,2B,14.0,Paradise HS Sentinels,Paradise HS Sentinels,HS,33.27,43.08,29.25,46.0,46.0,36.5,,,0.31,0.0,-0.5,N/A,False,,31.29,,,,,,,29.25,1B,31.29
737,Raúl Gutirérrez,2B,22.0,Kingston Norse,Halifax Privateers,A,40.7,42.93,42.25,47.5,49.06,44.25,,,0.25,-2.5,-2.0,N/A,False,,43.12,47.51,45.84,,42.52,,,42.25,2B,47.51
739,César Rodríguez,C,22.0,Rockport Tridents,Halifax Privateers,AA,55.63,55.95,42.0,43.0,48.38,36.75,,,0.0,3.0,0.5,N/A,False,49.96,41.84,,,,,,,42.0,C,49.96
742,Ramón Solís,RP,23.0,Sacramento Falcons,Antelope Valley Raptors,AA,35.65,37.2,,,,,36.25,46.2,0.0,2.5,0.5,N/A,False,,,,,,,,,,SP,33.24
747,Ray Devenpeck,RP,18.0,Fresno College Emissaries,Fresno College Emissaries,COL,31.17,35.64,,,,,32.75,41.1,0.29,0.0,0.0,N/A,False,,,,,,,,,,SP,24.42
751,Miguel Santos,RP,22.0,Delmarva Shorebirds,Arizona Diamond Scorchers,A,40.77,41.56,,,,,38.75,46.65,0.0,0.0,3.0,N/A,False,,,,,,,,,,SP,40.33
766,Luis López,SS,22.0,Arlen Longhorns,Chihuahua División del Norte,AA,61.67,62.21,39.5,42.0,59.5,54.5,,,0.0,3.0,2.5,N/A,False,,42.4,50.45,51.27,54.05,42.76,,43.93,39.5,SS,54.05
773,Sergio Fuentes,RP,22.0,San Francisco Canucks,Colorado Peaks,A,35.58,38.68,,,,,36.25,45.55,0.0,0.0,-2.0,N/A,False,,,,,,,,,,SP,38.11
788,Ángel Canseco,2B,22.0,Somerville Fluff,San Diego Groot,AAA,64.65,64.5,51.5,54.25,57.92,74.0,,,1.12,3.0,0.0,N/A,False,,52.38,58.7,,60.2,,,,51.5,SS,60.2
