ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,Batting_Score,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
20093,Kayler Yates,SS,50.0,,,,34.17,28.65,43.91,51.66,,,0.0,0.0,0.0,Nationals Park,True,,,,,,,,33.24,28.65,RF,33.24
25757,Joe Lehman,3B,33.0,Pittsburgh Pirates,Pittsburgh Pirates,ML,60.36,54.86,62.5,55.39,,,1.0,-3.0,0.0,Nationals Park,True,,56.4,59.91,59.75,,54.64,,55.36,54.86,2B,59.91
28479,Dave Cole,SP,42.0,Miami Marlins,Miami Marlins,ML,46.14,,,,50.67,40.75,1.1,-3.0,1.0,Nationals Park,True,,,,,,,,,,SP,48.68
49194,Zeyuan Li,3B,65.0,765,765,,32.14,22.02,45.41,36.03,,,0.0,0.0,1.0,Nationals Park,True,,,,,,,,26.93,22.02,RF,26.93
57519,Oscar Alvarez,RP,40.0,Omaha Storm Chasers,New Orleans Voodoo,AAA,44.49,,,,51.33,38.45,0.38,-3.0,0.5,Nationals Park,True,,,,,,,,,,SP,48.75
59379,Montay Dimiceli,3B,38.0,,,,41.8,47.36,54.7,21.15,,,1.0,0.0,-4.0,Nationals Park,True,,46.82,,,,,,45.8,47.36,DH,47.36
60021,Jim Gerdon,SP,34.0,Long Island Ducks,Long Island Ducks,IND,54.91,,,,52.36,43.9,0.27,0.0,2.0,Nationals Park,True,,,,,,,,,,SP,50.67
60237,Erik Mangini,RF,32.0,Doosan Bears,Doosan Bears,INT,57.94,45.53,55.65,67.25,,,1.0,0.0,-2.0,Nationals Park,True,,46.36,,,,49.97,56.4,49.62,45.53,CF,56.4
60456,Ruben Moreno,SP,22.0,Minnesota (CMPX) Twins,Minnesota Twins,R,36.8,,,,33.02,63.97,0.0,-3.0,2.0,Nationals Park,True,,,,,,,,,,SP,39.21
67487,Gabe Custer,SP,38.0,Philadelphia Phillies,Philadelphia Phillies,ML,50.67,,,,53.44,49.75,1.15,-3.0,-0.5,Nationals Park,True,,,,,,,,,,SP,52.7
67642,Cortez Sanchez,SP,34.0,Arizona Diamondbacks,Arizona Diamondbacks,ML,43.62,,,,48.34,43.12,0.15,-3.0,4.0,Nationals Park,True,,,,,,,,,,SP,44.8
67998,Adam Carrier,1B,36.0,Tembisa Brawlers,Tembisa Brawlers,INT,56.36,50.11,56.3,69.77,,,1.0,0.0,-0.5,Nationals Park,True,,,,,,52.47,,53.54,50.11,RF,53.54
68069,Caleb Hellmann,SP,36.0,Indianapolis Indians,Pittsburgh Pirates,AAA,39.54,,,,52.91,44.85,1.17,-3.0,2.5,Nationals Park,True,,,,,,,,,,SP,41.3
68070,Danny Perez,LF,37.0,Washington Nationals,Washington Nationals,ML,54.39,50.59,54.89,64.95,,,1.0,-3.0,0.0,Nationals Park,True,,,,,,52.79,54.57,52.44,50.59,CF,54.57
68107,Alex Lira,LF,23.0,San Antonio Peaches,San Antonio Peaches,IND,36.07,35.32,40.79,33.75,,,0.0,0.0,-2.5,Nationals Park,True,,,39.5,,,35.42,,35.92,35.32,2B,39.5
68132,Mubale Kwasi,SP,38.0,Bloemfontein Nailers,Bloemfontein Nailers,INT,35.21,,,,39.64,40.95,0.0,0.0,0.5,Nationals Park,True,,,,,,,,,,SP,34.91
68413,Alex Contreras,RF,37.0,Brakpan Barons,Brakpan Barons,INT,51.57,49.83,45.77,48.34,,,1.0,0.0,0.0,Nationals Park,True,,,,,,49.07,,,49.83,DH,49.83
68721,Chad Coleman,SP,41.0,York Revolution,York Revolution,IND,42.3,,,,46.58,42.38,0.08,0.0,-1.0,Nationals Park,True,,,,,,,,,,SP,45.74
68931,Edwin Carmona,1B,42.0,Campeche Piratas,Campeche Piratas,INT,41.67,44.24,46.42,26.94,,,0.0,0.0,0.0,Nationals Park,True,,,,,,,,42.83,44.24,DH,44.24
69143,Gordon Mesh,LF,29.0,Saranac Lake Surge,Saranac Lake Surge,IND,58.21,44.17,50.79,68.0,,,0.0,0.0,3.5,Nationals Park,True,,44.84,,,,48.14,52.15,48.15,44.17,CF,52.15
