ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
20093,Jose Renteria,3B,17.0,Seattle (DSL) Mariners,Seattle Mariners,R,38.26,56.0,24.75,51.25,52.0,25.25,,,,0.81,3.0,-0.5,N/A,False,,27.5,,37.04,,,,,24.75,3B,37.04
25757,Joe Lehman,3B,34.0,Pittsburgh Pirates,Pittsburgh Pirates,ML,58.53,57.46,52.5,52.5,61.3,52.0,,,,1.0,-3.0,0.0,N/A,False,,53.83,57.96,57.88,,52.56,,53.28,52.5,2B,57.96
49194,Zeyuan Li,3B,65.0,765,765,,31.92,31.92,21.75,21.75,43.0,34.75,,,,0.0,0.0,1.0,N/A,False,,,,,,,,26.24,21.75,RF,26.24
60021,Jim Gerdon,SP,35.0,,,,52.68,52.19,,,,,50.5,50.5,43.9,0.29,0.0,2.0,N/A,False,,,,,,,,,,SP,49.18
60237,Erik Mangini,RF,32.0,,,,58.58,57.51,46.75,46.75,55.88,66.75,,,,1.0,0.0,-2.0,N/A,False,,47.37,,,,50.89,57.01,50.51,46.75,CF,57.01
60456,Ruben Moreno,SP,23.0,Fort Myers Mighty Mussels,Minnesota Twins,A,36.97,42.16,,,,,35.25,43.0,66.45,0.0,-2.5,2.0,N/A,False,,,,,,,,,,SP,38.99
67487,Gabe Custer,SP,39.0,New York Yankees,New York Yankees,ML,48.6,46.66,,,,,52.5,52.5,48.1,1.15,-3.0,-0.5,N/A,False,,,,,,,,,,SP,51.62
67642,Cortez Sanchez,SP,35.0,Arizona Diamondbacks,Arizona Diamondbacks,ML,42.25,42.09,,,,,47.5,47.5,43.12,0.15,-3.0,3.5,N/A,False,,,,,,,,,,SP,44.12
67998,Adam Carrier,LF,37.0,,,,55.51,54.1,49.5,49.5,56.5,67.5,,,,1.0,0.0,-0.5,N/A,False,,,,,,51.83,,52.88,49.5,RF,52.88
68070,Danny Perez,LF,38.0,,,,58.18,57.07,50.0,50.0,55.17,64.5,,,,1.0,0.0,0.0,N/A,False,,,,,,52.35,54.62,51.98,50.0,CF,54.62
68107,Alex Lira,RF,23.0,San Antonio Peaches,San Antonio Peaches,IND,35.5,36.66,35.0,39.5,42.33,32.5,,,,0.0,0.0,-2.5,N/A,False,,,38.46,,,35.46,,36.1,35.0,2B,38.46
68132,Mubale Kwasi,RP,39.0,Brakpan Barons,Brakpan Barons,INT,37.98,37.98,,,,,38.25,38.25,43.13,0.0,0.0,0.5,N/A,False,,,,,,,,,,RP,39.47
68413,Alex Contreras,1B,38.0,Thohoyandou Tourists,Brakpan Barons,AA,45.35,44.0,49.25,49.25,46.0,48.0,,,,1.0,-3.0,0.0,N/A,False,,,,,,48.64,,,49.25,DH,49.25
68721,Chad Coleman,SP,42.0,Detroit Legends,Detroit Legends,IND,40.6,40.52,,,,,45.75,45.75,42.38,0.08,0.0,-2.0,N/A,False,,,,,,,,,,SP,45.08
68931,Edwin Carmona,1B,43.0,Durango Generales,Durango Generales,INT,41.69,41.69,44.25,44.25,46.5,27.25,,,,0.0,0.0,0.0,N/A,False,,,,,,,,42.89,44.25,DH,44.25
69143,Gordon Mesh,LF,30.0,,,,57.79,57.79,43.75,43.75,50.75,67.75,,,,0.0,0.0,3.0,N/A,False,,44.38,,,,47.84,52.26,47.84,43.75,CF,52.26
69743,Raul Solis,LF,24.0,Syracuse Mets,New York Mets,AAA,54.56,57.78,49.0,52.75,50.0,44.75,,,,1.19,3.0,-0.5,N/A,False,,,,,,48.73,,48.73,49.0,DH,49.0
72606,Hector Lopez,RF,25.0,Oakland Nationals,Oakland Nationals,IND,41.33,42.74,40.5,42.25,53.33,49.75,,,,0.0,0.0,0.0,N/A,False,,41.71,,,,43.6,,43.9,40.5,RF,43.9
72845,Danny Quinonez,1B,37.0,Saltillo Saraperos,Saltillo Saraperos,INT,48.12,46.47,47.5,47.5,0.0,20.75,,,,1.0,0.0,0.5,N/A,False,,,,,,,,,47.5,DH,47.5
72880,Jose Giron,1B,28.0,,,,37.82,39.15,43.25,45.0,0.0,38.25,,,,0.0,0.0,-3.5,N/A,False,,,,,,,,,43.25,DH,43.25
72888,Victor Patino,RP,37.0,Houston Astros,Houston Astros,ML,47.84,46.12,,,,,50.75,50.75,50.85,1.06,-3.0,0.0,N/A,False,,,,,,,,,,RP,50.77
74643,R.J. Shiffler,LF,37.0,Houston Astros,Houston Astros,ML,60.13,59.21,56.0,56.0,57.5,68.75,,,,1.0,-3.0,2.0,N/A,False,,,,,,57.5,56.96,57.65,56.0,RF,57.65
74655,Mirko Brown,RP,33.0,Chicago White Sox,Chicago White Sox,ML,47.52,45.84,,,,,50.75,50.75,48.1,1.06,-3.0,0.5,N/A,False,,,,,,,,,,RP,50.09
74668,Daniel Avalos,RP,28.0,Plattsburgh Thunderbirds,Plattsburgh Thunderbirds,IND,38.91,41.84,,,,,37.0,41.25,47.83,0.0,0.0,1.5,N/A,False,,,,,,,,,,RP,39.71
74726,Butch Allen,SP,37.0,Lancaster Barnstormers,Lancaster Barnstormers,IND,50.19,49.77,,,,,49.25,49.25,42.42,0.21,0.0,2.0,N/A,False,,,,,,,,,,SP,47.89
74776,Ixzi Oluoch,RP,43.0,Bloemfontein Nailers,Bloemfontein Nailers,INT,40.82,40.66,,,,,42.0,42.0,40.88,0.17,0.0,1.5,N/A,False,,,,,,,,,,RP,41.72
75541,Gabe Wingen,SP,42.0,,,,38.14,38.02,,,,,46.5,46.5,36.65,0.17,0.0,0.5,N/A,False,,,,,,,,,,SP,39.53
75935,Roger Baquero,RP,25.0,San Antonio Missions,Milwaukee Brewers,AAA,48.36,46.95,,,,,45.5,45.5,48.7,0.83,2.5,-0.5,N/A,False,,,,,,,,,,RP,46.3
