ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
55007,Homer Catron,SP,17,,,,43.51,70.13,,,,,30.63,76.31,80.2,1.81,0,3.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,40.55
56787,Adam Hunt,RF,18,,,,43.66,68.79,42.84,75.13,52.52,38.61,,,,1.62,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,43.38,,44.36,42.84,RF,44.36
55140,Arnie Jones,SP,18,,,,47.65,68.72,,,,,33.9,68.77,79.3,1.75,0,4,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,42.98
56784,Greg Davis,SP,18,,,,53.18,68.53,,,,,40.18,70.03,76.1,1.42,0,3,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,47.36
55739,Nicholas Bolton,SP,20,,,,58.38,68.48,,,,,44.43,70.03,80.2,2.23,0,2,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,51.59
51262,Todd Barrett,CL,22,,,,57.69,68.36,,,,,44.88,72.7,68.6,2.35,0,2,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,50.81
55885,James Sullivan,2B,17,,,,44.56,68.35,31.57,72.63,52.51,54.25,,,,1.56,0,1,Atlanta Bandits Ballpark,TRUE,,35.54,41.64,44.11,,36.29,,36.42,31.57,3B,44.11
54912,Jackson Luna,SP,18,,,,41.27,68.25,,,,,30.64,69.79,79.8,1.88,0,1.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,40.47
49494,Joe Jerningham,RP,20,,,,59.39,68.2,,,,,48.13,72.67,68.6,2.08,0,1.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,53.25
56754,Tim Jensen,SP,18,,,,44.63,68.13,,,,,40.18,75.05,74.3,1.73,0,-2,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,47
55142,Arthur Jones,2B,17,,,,38.09,68.05,28.31,72.66,43.72,60.55,,,,1.69,0,0,Atlanta Bandits Ballpark,TRUE,,31.09,38.44,,,33.95,,34.3,28.31,2B,38.44
55069,Donald Gordon,SP,18,,,,42.78,68.03,,,,,30.63,66.52,79.33,1.38,0,3.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,40.37
55915,Alex Springer,RF,21,,,,55.05,67.55,47.84,70.65,55.79,41.62,,,,2.12,0,0.5,Atlanta Bandits Ballpark,TRUE,,49.25,,,,47.7,50.41,48.27,47.84,CF,50.41
56713,Artie Miller,SP,22,,,,57.31,67.54,,,,,48.45,71.55,69.4,2.19,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,52.64
42948,Ed Avery,SP,18,,,,42.94,67.24,,,,,38.42,71.54,80.2,1.6,0,-0.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,44.28
46270,Jorge Carvajal,CL,21,,,,57.81,66.89,,,,,45.87,66.9,68.6,1.73,0,2,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,51.55
55992,Rafael Corona,CF,17,,,,36.16,66.89,28.27,67.32,49.02,51.22,,,,1.44,0,2,Atlanta Bandits Ballpark,TRUE,,,,,,33.64,,33.72,28.27,RF,33.72
54939,Tom Ball,SP,18,,,,38.45,66.86,,,,,29.89,67.53,76.15,1.46,0,2.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,36.65
55860,Abraham Wyatt,C,17,,,,42.83,66.82,30.81,68.14,45.34,26.5,,,,1.31,0,1,Atlanta Bandits Ballpark,TRUE,42.98,,,,,,,32.08,30.81,C,42.98
56823,Tim Hughes,RP,18,,,,53.97,66.74,,,,,43.86,68.66,69.8,1.94,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,50.35
52105,Pedro Jiménez,SS,21,,,,63.22,66.72,44.12,65.21,63.57,50.2,,,,1.06,0,3,Atlanta Bandits Ballpark,TRUE,,47.01,54.63,55.35,57.76,46.97,53.62,46.71,44.12,SS,57.76
55806,Mariano Carrillo,LF,18,,,,37.71,66.54,32.32,66.42,46.57,48.44,,,,1.19,0,2,Atlanta Bandits Ballpark,TRUE,,,,,,35.75,,36.4,32.32,RF,36.4
55802,Sulejman Demaci,1B,18,,,,34.44,66.49,31.3,68.8,41.3,31.28,,,,1.31,0,-0.5,Atlanta Bandits Ballpark,TRUE,,32.17,,,,32.78,,33.02,31.3,RF,33.02
55927,Joe Flynn,2B,21,,,,51.55,66.41,42.84,67.62,49.96,58.55,,,,1.25,0,0.5,Atlanta Bandits Ballpark,TRUE,,44.24,45.79,49.06,,45.29,,45.67,42.84,3B,49.06
55843,Sam Murray,SP,18,,,,40.18,66.36,,,,,37.91,71.55,66.3,1.6,0,-2.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,43.59
55859,Jason Clarke,1B,18,,,,36.75,66.29,31.3,64.82,45.7,36.1,,,,1.19,0,3,Atlanta Bandits Ballpark,TRUE,,,,,,33.94,,,31.3,LF,33.94
56762,Luis Gonzáles,CL,22,,,,55.36,66.24,,,,,45.63,67.41,68.6,1.9,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,51.37
56821,Campbell Yohemas,CF,18,,,,61.42,66.15,33.08,64.45,61.15,59.04,,,,1.12,0,2,Atlanta Bandits Ballpark,TRUE,,36.57,,,,40.19,56.09,39.7,33.08,CF,56.09
55757,Bob Harris,SP,20,,,,53.98,65.98,,,,,45.19,66.27,70.4,2.06,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,50.23
55796,Sergio Ospira,RP,21,,,,49.43,65.97,,,,,41.62,66.16,69.8,1.04,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,48.67
55808,Zach Nix,CL,21,,,,56.64,65.88,,,,,46.87,65.89,69.8,1.67,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,52.6
55122,Haywood Joyce,CL,18,,,,38.78,65.83,,,,,30.59,66.4,69.8,1.15,0,-0.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,40.39
55058,Harry Greene,RP,18,,,,37.5,65.64,,,,,26.09,63.64,66.4,1.12,0,2,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,36.17
55100,Alvin Cline,SP,18,,,,36.65,65.64,,,,,30.4,67.55,76.48,1.35,0,-3,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,39.61
55874,José García,SP,18,,,,38.5,65.63,,,,,33.39,67.54,66.4,1.69,0,-1,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,39.99
55974,Freddy Anderson,CL,22,,,,60.65,65.49,,,,,48.87,61.15,68.6,1.46,0,3,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,53.8
55181,Ryan Phillips,RP,17,,,,37.22,65.46,,,,,30.59,68.41,68.6,1.27,0,-2.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,40.09
55750,Zach Rice,SS,21,,,,64.47,65.46,43.07,51.11,62.38,51.95,,,,0.44,0,2,Atlanta Bandits Ballpark,TRUE,,44.7,50.06,48.84,,47.7,61.54,47.84,43.07,CF,61.54
55021,Manny Lowe,CL,19,,,,38.18,65.43,,,,,28.83,64.39,66.4,1.02,0,1,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,38.23
55840,Mitch Rogers,RP,21,,,,55.46,65.33,,,,,40.36,57.63,79.77,0.62,0,2.5,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,50.21
52160,Mike Colón,RF,23,,,,61.07,65.26,47.78,63.53,53.66,56.23,,,,1.75,0,2,Atlanta Bandits Ballpark,TRUE,,47.43,,,,50.32,55.02,50.06,47.78,CF,55.02
55050,Todd Noble,RP,18,,,,37.76,65.23,,,,,30.09,65.9,64.2,1.04,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,38.62
55893,Cooper Kirkland,SS,22,,,,55.47,65.22,47.84,65.44,53.42,56.76,,,,1.88,0,0,Atlanta Bandits Ballpark,TRUE,,49.01,51.12,51.47,,49.25,,49.48,47.84,3B,51.47
55988,Bill Thomas,CF,21,,,,61.19,65.21,41.58,63.43,59.48,53.22,,,,1.06,0,2,Atlanta Bandits Ballpark,TRUE,,,,,,45.49,55.87,44.89,41.58,CF,55.87
45467,Brian Coats,RF,21,,,,56.63,65.19,45.08,64.89,52.54,41.63,,,,2.06,0,0.5,Atlanta Bandits Ballpark,TRUE,,45.1,,,,46.19,51.69,45.9,45.08,CF,51.69
55941,Reilley Owens,SP,21,,,,50.53,65.16,,,,,44.94,66.26,76.6,2,0,-3,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,SP,51.27
55035,Jeffrey Miller,RP,18,,,,40.66,65.07,,,,,31.08,61.39,76.36,0.81,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,42.4
55768,Jim Wynn,CF,18,,,,34.61,65.04,27.55,65.08,46.02,52.97,,,,1.31,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,32.9,,32.83,27.55,LF,32.9
54936,Dusty Litzmann,C,18,,,,49.27,65.02,26.76,61.55,47.07,27.78,,,,1.12,0,3.5,Atlanta Bandits Ballpark,TRUE,45,,,,,29.25,,29.71,26.76,C,45
50144,Bailey Morris,RP,22,,,,54.83,64.95,,,,,46.12,64.39,66.4,1.69,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,51.19
54977,Héctor Rosas,RF,18,,,,34.63,64.71,26.56,63.93,48.36,51.22,,,,1.38,0,0.5,Atlanta Bandits Ballpark,TRUE,,,,,,32.24,,32.36,26.56,RF,32.36
56740,Chris Bradley,SS,18,,,,42.13,64.66,35.09,65.34,50.39,42.39,,,,0.94,0,-1,Atlanta Bandits Ballpark,TRUE,,37.44,44.73,44.38,,36.84,,37.34,35.09,2B,44.73
55742,Steve White,CL,22,,,,59.98,64.58,,,,,52.88,63.64,69.8,1.38,0,-1,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,57.11
56715,Duane Lee,CF,22,,,,52.74,64.57,41.85,65.17,54.16,61.31,,,,1.12,0,-1,Atlanta Bandits Ballpark,TRUE,,,,,,45.51,51.38,,41.85,CF,51.38
54920,John Spencer,1B,18,,,,32.76,64.52,26.3,65.08,45.36,28.25,,,,1.38,0,-1,Atlanta Bandits Ballpark,TRUE,,,,,,29.36,,29.34,26.3,LF,29.36
46299,Alberto Ramos,CF,21,,,,62.46,64.46,39.08,52.39,56.42,58.28,,,,0.69,0,2,Atlanta Bandits Ballpark,TRUE,,40.63,42.84,,,45.02,57.97,44.35,39.08,CF,57.97
54937,Robby Scott,RF,18,,,,47.15,64.38,26.79,62.31,54.38,32.3,,,,1.19,0,1.5,Atlanta Bandits Ballpark,TRUE,,,,,,31.54,45.74,31.25,26.79,CF,45.74
55023,Alec Ivey,CL,18,,,,37.57,64.36,,,,,29.84,63.64,64.2,0.96,0,0,Atlanta Bandits Ballpark,TRUE,,,,,,,,,,RP,38.43
