ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Ability_Potential,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
1178,Darnell Armah,SP,30.0,Atlanta Braves,Atlanta Braves,ML,49.35,47.66,,,,,48.25,48.25,55.15,0.94,-2.4,1.5,N/A,False,,,,,,,,,,SP,49.63
1404,Chris Rovito,RF,30.0,,,,51.88,50.0,48.5,48.5,53.25,32.5,,,,1.0,0.0,1.5,N/A,False,,,,,,47.35,,47.88,48.5,DH,48.5
1550,Billy McDonald,RP,25.0,Durham Bulls,Tampa Bay Rays,AAA,57.84,58.57,,,,,47.5,49.75,64.72,1.0,2.5,0.0,N/A,False,,,,,,,,,,RP,51.81
1785,Dan Brittle,RP,32.0,New York Mets,New York Mets,ML,54.59,53.13,,,,,49.5,49.5,60.5,0.96,-3.0,2.5,N/A,False,,,,,,,,,,RP,52.25
1802,Weston Crudge,SP,31.0,,,,41.87,41.87,,,,,44.0,44.0,43.6,0.0,0.0,0.5,N/A,False,,,,,,,,,,SP,43.92
1860,Chris Riddick,SS,27.0,,,,53.95,55.95,44.0,47.25,52.88,54.25,,,,0.19,0.0,1.5,N/A,False,,45.41,48.85,50.59,,,,45.7,44.0,3B,50.59
4073,Jesus Galindo,2B,26.0,St. Paul Saints,Minnesota Twins,AAA,45.03,45.86,49.25,51.25,44.75,62.75,,,,1.12,0.0,-4.0,N/A,False,,49.9,49.14,,,49.1,,,49.25,1B,49.9
18631,Kyoshi Nishimoto,1B,36.0,,,,54.43,52.89,51.75,51.75,52.33,52.25,,,,1.0,0.0,-0.5,N/A,False,,52.1,,,,51.54,,51.84,51.75,1B,52.1
18880,Juan Padilla,RF,25.0,,,,48.8,50.83,39.5,43.0,51.0,44.25,,,,0.0,0.0,2.0,N/A,False,,,,,,41.51,47.38,41.85,39.5,CF,47.38
18994,Amari Pigues,RP,27.0,San Francisco Giants,San Francisco Giants,ML,55.22,53.74,,,,,47.75,47.75,47.3,1.02,1.0,3.5,N/A,False,,,,,,,,,,RP,47.64
19218,Roman McNeil,C,26.0,Tampa Bay Rays,Tampa Bay Rays,ML,60.03,59.35,49.25,50.5,47.12,25.25,,,,1.06,1.2,2.5,N/A,False,52.77,,,,,45.2,,,49.25,C,52.77
19279,Alfredo Toribio,C,31.0,California Angels,California Angels,ML,61.98,61.23,56.0,56.0,51.75,38.5,,,,1.0,-3.0,3.0,N/A,False,58.97,53.73,,,,,,,56.0,C,58.97
19300,Mike Elliott,RP,31.0,Texas Rangers,Texas Rangers,ML,45.35,43.89,,,,,48.5,48.5,51.16,1.08,-3.0,0.0,N/A,False,,,,,,,,,,RP,49.17
19827,Josh McNaughton,SP,27.0,,,,34.06,35.09,,,,,30.25,33.0,43.93,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,32.99
19968,Frank Zapata,RP,27.0,Round Rock Express,Texas Rangers,AAA,44.47,44.04,,,,,43.75,44.5,43.61,0.9,0.0,2.0,N/A,False,,,,,,,,,,RP,43.72
20028,Chad Broussard,SP,27.0,,,,35.5,37.42,,,,,38.75,42.75,49.85,0.0,0.0,-2.5,N/A,False,,,,,,,,,,SP,38.47
20470,Jesus Ceja,RP,26.0,Harrisburg Senators,Washington Nationals,AA,41.94,42.56,,,,,44.0,44.75,53.95,0.0,-2.0,0.0,N/A,False,,,,,,,,,,RP,46.49
20620,Steve McAuliffe,LF,30.0,,,,48.12,46.47,48.0,48.0,47.75,44.5,,,,1.0,0.0,0.0,N/A,False,,,,,,47.73,,47.5,48.0,DH,48.0
20659,Edgar Soto,SP,30.0,,,,48.07,46.39,,,,,49.0,49.0,41.25,1.02,0.0,0.5,N/A,False,,,,,,,,,,SP,47.45
22013,Dave Nummerdor,SP,25.0,California Angels,California Angels,ML,53.53,61.52,,,,,42.0,51.75,69.72,0.46,2.5,4.0,N/A,False,,,,,,,,,,SP,45.05
22579,Jesus de la Garza,SP,33.0,,,,39.58,39.58,,,,,44.0,44.0,39.08,0.0,0.0,-1.0,N/A,False,,,,,,,,,,SP,43.02
22948,Jim Reed,RP,28.0,Milwaukee Brewers,Milwaukee Brewers,ML,57.59,56.55,,,,,51.25,51.25,55.0,0.9,0.0,2.0,N/A,False,,,,,,,,,,RP,52.19
22980,Tommy Reardon,SP,28.0,,,,47.27,45.83,,,,,44.25,44.25,58.4,0.92,0.0,0.5,N/A,False,,,,,,,,,,SP,47.08
23010,Francis Casarez,C,25.0,California Angels,California Angels,ML,65.07,64.56,50.0,50.0,59.56,27.25,,,,1.0,2.4,1.5,N/A,False,60.24,,,,,48.7,52.44,49.23,50.0,C,60.24
