ID,Name,Pos,Age,Team,Org,League_Level,VOS_Score,VOS_Potential,Batting_Score,Batting_Potential,Defense_Score,Baserunning_Score,Pitching_Ability_Score,Pitching_Arsenal_Score,Development_Adj,Age_Adj,Personality_Adj,Park_Name,Park_Applied,C_Score,1B_Score,2B_Score,3B_Score,SS_Score,LF_Score,CF_Score,RF_Score,DH_Score,Ideal_Position,Ideal_Value
138847,Chris Sandmeyer,SP,22.0,,,,32.62,39.03,,,,,24.75,47.75,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,29.35
138848,Phil Bonner,RP,22.0,,,,38.56,52.32,,,,,33.25,57.27,0.0,0.0,1.5,N/A,False,,,,,,,,,,RP,39.26
138849,Jimmy Bartram,LF,22.0,,,,35.75,39.61,34.0,41.5,43.88,36.0,,,0.0,0.0,0.5,N/A,False,,,,,,35.44,,35.93,34.0,RF,35.93
138850,Chad Pollack,SP,21.0,,,,34.99,40.8,,,,,33.25,51.85,0.0,0.0,-2.0,N/A,False,,,,,,,,,,SP,36.97
138855,Tony Reed,SP,22.0,,,,31.65,37.01,,,,,30.0,42.25,0.42,0.0,1.0,N/A,False,,,,,,,,,,SP,24.95
138870,Shamel Mattress,CF,22.0,,,,33.8,38.48,28.0,39.0,46.0,45.0,,,0.0,0.0,0.0,N/A,False,,,,,,32.4,,,28.0,LF,32.4
138873,Eric Geidel,RP,22.0,,,,39.37,45.56,,,,,29.0,68.08,0.0,0.0,3.0,N/A,False,,,,,,,,,,RP,38.77
138878,Jarvis Elliott,C,23.0,,,,40.3,43.33,27.25,38.75,45.62,26.0,,,0.0,0.0,-1.5,N/A,False,44.34,,,,,,,28.96,27.25,C,44.34
138886,Dashawn Edem,SP,22.0,,,,33.1,40.68,,,,,29.0,37.2,0.0,0.0,0.0,N/A,False,,,,,,,,,,SP,30.64
138892,Chris Wilbon,RP,22.0,,,,34.18,36.63,,,,,31.75,41.77,0.0,0.0,-1.0,N/A,False,,,,,,,,,,RP,34.26
138895,Juan Sandoval,2B,22.0,,,,37.4,45.02,27.0,42.75,48.88,44.75,,,0.0,0.0,0.0,N/A,False,,30.99,38.45,39.14,,,,30.28,27.0,3B,39.14
138897,Robbie Bates,2B,22.0,,,,32.32,40.39,25.25,42.25,38.0,54.25,,,0.0,0.0,0.5,N/A,False,,27.98,,,,,,,25.25,1B,27.98
138898,Mike Haynes,C,21.0,,,,45.28,51.79,27.0,42.0,42.75,24.5,,,0.0,0.0,3.0,N/A,False,44.2,28.38,,,,,,27.88,27.0,C,44.2
138901,Jeff McMichael,SP,22.0,,,,33.07,39.05,,,,,29.5,39.9,0.0,0.0,-1.0,N/A,False,,,,,,,,,,SP,31.58
138907,Nehemiah Hariston,SP,21.0,,,,33.27,39.31,,,,,30.0,43.0,0.0,0.0,-1.5,N/A,False,,,,,,,,,,SP,32.6
138916,Brad Hagan,RP,22.0,,,,37.91,52.42,,,,,32.75,61.03,0.56,0.0,-0.5,N/A,False,,,,,,,,,,RP,39.82
138917,Jesus Vega,RP,22.0,,,,38.46,45.53,,,,,35.25,46.74,0.0,0.0,2.5,N/A,False,,,,,,,,,,RP,38.12
